disaster,month,year,status,disaster_type,affected_country,description,reference
Tanzania: Floods ,Apr,2014,Past Disaster,Flash Flood1 more,Tanzania,"On 21 Jan 2014, heavy rains caused flash floods in the Dumila/Dakawa area in Tanzania's Morogoro region, which displaced over 10,000 people and destroyed or damaged houses, roads, bridges, public buildings and crops.In mid-April, extensive rainfall over Dar es Salaam, Tanzania's largest city, caused flooding in all of the city's districts, affecting an estimated 20,000 people, with 19 deaths. The floods also caused damage to transport infrastructure and affected people had to relocate to churches and schools. By 23 April, the flooding in Dar es Salaam had receded and most residents were able to return home. Other regions affected include Rorya District in Mara where 300 houses were damaged due to heavy rains and strong winds. The southern region of Mbeya was also hit by flooding during the weekend of 19 Apr, and at least three people died in Kyela District. (OCHA, 27 May 2014)",https://reliefweb.int/disaster/fl-2014-000053-tza
Solomon Islands: Flash Floods ,Apr,2014,Past Disaster,Flash Flood2 more,Solomon Islands,"Heavy rain from a tropical depression, which later became Tropical Cyclone Ita, caused severe flooding in the Solomon Islands at the beginning of April 2014, killing 22 people and affecting and over 50,000. The worst affected area was the capital Honiara after the Mataniko River burst its banks on 3 Apr. Houses were washed away and infrastructure damaged, with an estimated 12,000 people affected. At the peak of the crisis, there were around 10,000 people displaced in nearly 30 evacuation centres in Honiara. By 12 May, 10 evacuation centres still housed 4,477 people. Over 9,000 households in Honiara, Guadalcanal and Isabel had lost 75 to 100 per cent of their food gardens. Drinking water remained a concern for an estimated 50 per cent of the 50,000 people affected. (OCHA, 12 May 2014)The National Disaster Council endorsed theHumanitarian Action Plan (HAP)on 24 Apr, which requires US$13.6 million for three months. Priority areas are health, WASH, shelter, protection and food security.As of 22 May, over 2,500 people remained in eight evacuation centres in Honiara. Flood-affected health facilities and schools were still in need of repair. (OCHA, 22 May 2014)By 25 Jun, over 1,000 people remained in three evacuation centres in Honiara. A Central Emergency Response Fund (CERF) grant totaling $1.8 million has been approved to support Health, Nutrition and WASH activities. A revision of the Humanitarian Action Plan focusing on early recovery is underway. (OCHA, 25 Jun 2014)The total number of people reached through this operation exceeded the target that was set in the Emergency Appeal. In all, some 66,000 people were reached with water, sanitation and hygiene promotion, as well as health activities; 1,428 households received emergency shelter kits and 2,878 households received household kits.
However it is recognized that there may be some overlap in the beneficiary figures. Beneficiaries (especially within evacuation centres) would have received water, sanitation and hygiene promotion activities, and also received either a household kits or emergency shelter kits. This scenario, coupled with the continual movement of people in flood affected communities and their very limited means to identify themselves, resulted in challenges for data recording. (IFRC Final Report, 9 July 2015)",https://reliefweb.int/disaster/fl-2014-000045-slb
Tropical Cyclone Hellen ,Mar,2014,Past Disaster,Flood2 more,Madagascar2 more,"In northern Mozambique, the weather system that would eventually become Tropical Cyclone Hellen caused heavy rains between 23 and 27 Mar 2014, affecting an estimated 1,929 households (9,645 people) in Cabo Delgado Province. Most affected households moved in with host families, and only the most vulnerable households – around 170 in total - were placed in accommodation centres. The Humanitarian Country Team provided 400 tents for immediate shelter for families whose houses were completely destroyed and 100 tons of food to cover the needs of those affected (including host families) for a period of 1 month.Comoros had already experienced days of heavy rains by the time Tropical Cyclone Hellen passed 100 km south of the island chain from 27 to 29 Mar. A total of 18 villages on Anjouan Island were hit by the subsequent floods, with 1,234 households (a total of 6,788 people) directly affected. On Moheli Island, 24 villages hit were by rains and winds and 457 households (2,723 people) recorded damage to or destruction of their homes and crops. The Government of Comoros declared a regional emergency on 2 Apr. An Emergency Cash Grant of US$61,200 was provided by OCHA to address the most pressing needs.Hellen made landfall over north-west Madagascar on 31 Mar as a Category 1 Tropical Cyclone. It continued to weaken as it crossed a section of coastal area and exited back into the Mozambique Channel on 1 Apr. Twelve people died when their boat capsized, and in total 2,141 people were affected, 1,736 displaced and 437 houses destroyed. Furthermore, over 3,900 ha of rice fields were submerged, and damage to infrastructure reported. (OCHA, 27 May 2014)",https://reliefweb.int/disaster/tc-2014-000043-mdg
Colombia: Floods and Landslides - Mar-Jul 2014,,,Past Disaster,Flood1 more,Colombia,"Colombia’s first rainy season of 2014 began in mid-March (OCHA, 31 Apr 2014). By the end of May, a total of 41,151 people had been affected in 182 municipalities of the country, with the Centre (Caquetá), the Caribbean Coast (Magdalena) and the Pacific region (Chocó, Cauca) being the most affected. (OCHA, 31 May 2014)In mid-June, more than 4,000 people were affected by flooding in Alto Putumayo (OCHA, 14 Jun 2014).By July, flooding had affected more than 16,000 in Putumayo.  Forecasts indicate that the rainfall will likely continue throughout the coming months. (OCHA, 31 Jul 2014).",https://reliefweb.int/taxonomy/term/14288
Tropical Cyclone Lusi ,Mar,2014,Past Disaster,Flash Flood2 more,Vanuatu2 more,"On 11 Mar 2014, Tropical Cyclone Lusi was located about 30 km west-northwest of Vanuatu's Ambrym island (population 7,275) and 70 km southeast of Malekula island (22,902), and moving 12 km/h in a south-southeast direction. The cyclone strengthened to a Category 2 system in the afternoon with sustained winds of 95 km/h and momentary gusts of 140 km/h. Cyclone warnings were in place for Penama (30,819), Malampa (36,727) and Shefa (78,723) Provinces. (OCHA, 11 Mar 2014)By 12 Mar, the cyclone had intensified to a Category 3 system and was moving away from Vanuatu. Three deaths had been confirmed and there were numerous reports of damage to houses and people sheltering in evacuation centers. Many coastal and low-lying communities were flooded, and there were concerns groundwater sources had been contaminated due to damaged water infrastructure. All provinces were reporting extensive damage to crops and fruit trees, including coconut, breadfruit, papaya, banana, manioc and yam. (OCHA, 12 Mar 2014)By 17 Mar, there were 10 confirmed fatalities and an estimated 20,000 people had been affected to varying degrees across Torba, Sanma, Penama, Malampa and Shefa Province (OCHA, 17 Mar).On 23 May, the Government launched theHumanitarian Action Plan.",https://reliefweb.int/disaster/tc-2014-000033-vut
South Africa: Floods ,Mar,2014,Past Disaster,Flood,South Africa,"Heavy rains affected north-eastern areas of South Africa in the last few days, causing floods and damage in parts of Mpumalanga. In the north-eastern city Nelspruit (Mpumalanga), approximatively 97 mm of rain in 24 hours were observed on 5 March.ECHO Daily Flash - 6 March 2014Heavy rainfall and consequent floods and river overflows continue affecting central, eastern and north-eastern South Africa. WMO reports 53 millimeters /24 hours in the capital Pretoria and 60 millimeters /24 hours in Aliwal North, between 10 and 11 March. As of 11 March, local media report six people drowned in the province of Mpumalanga over 7-10 March, while two people are missing in Limpopo.(ECHO Daily Flash - 12 March 2014)",https://reliefweb.int/disaster/fl-2014-000038-zaf
Burundi: Floods and Landslides ,Feb,2014,Past Disaster,Flash Flood2 more,Burundi,"During the night of 9 Feb 2014 torrential rains fell for around 10 hours and caused flooding,
mudslides and landslides in five communes of Burundi's capital, Bujumbura. By 12 Feb, two more areas, Kinyinya and Kijaga in Mutumbuzi commune, Bujumbura rural province had been affected. 64 people were reported dead. Over 940 homes were destroyed and nearly 12,500 people were made homeless. Most families lost everything they owned. Infrastructure, including roads and power supplies, as well as crops and livelihoods were also destroyed. (IFRC, 24 Oct 2014)",https://reliefweb.int/disaster/fl-2014-000019-bdi
Seychelles: Floods ,Feb,2014,Past Disaster,Flash Flood2 more,Seychelles,"Heavy rains and strong winds starting in the early hours of 24 Jan 2014 and continuing for several days resulted in flooding on the islands of Praslin, La Digue and northern parts of Mahe in the Seychelles. The main damage and effects reported were stagnant flood water in the lowland areas on La Digue and several landslides after the collapse of terraced fields/riverbanks. A total of 1,500 people in Marie Jeanne Estate on Praslin, and 2,500 people on La Digue have been affected. (IFRC, 7 Feb 2014)",https://reliefweb.int/disaster/fl-2014-000014-syc
Zimbabwe: Flash Floods ,Feb,2014,Past Disaster,Flash Flood1 more,Zimbabwe,"Heavy rains in parts of Zimbabwe in late January and early February 2014 resulted in deaths and displacement of people, coupled with destruction of property. The worst affected areas were Chivi and Masvingo districts in Masvingo province and Tsholotsho district in Matabeleland North (OCHA, 07 Feb 2014). On 11 Feb, Zimbabwean authorities launched an international appeal for $20 million to help some 20,000 people displaced by flooding (Govt, 12 Feb 2014).By the end of February, an estimated 2,194 households had been moved to the Chingwizi resettlement camp(OCHA, 28 Feb 2014). By 16 May, an estimated 15,625 people were living at Chingwizi(OCHA, 16 May 2014). In August, the Government officially closed the Chingiwizi transit camp (The Zimbabwean, 19 Aug 2014).Relevant Links",https://reliefweb.int/disaster/ff-2014-000015-zwe
Tanzania: Flash Floods ,Jan,2014,Past Disaster,Flash Flood1 more,Tanzania,"During the night of 21 Jan 2014, heavy rains caused flash floods in Dumila/Dakawa area in Tanzania's Morogoro region, which displaced over 10,000 people and destroyed or damaged houses, roads, bridges, public buildings and crops. The majority of the displaced people live on safer/higher open grounds along the road, making emergency shelter a critical need. Most most of the affected villages have their boreholes contaminated with flood/muddy water. The water has started to recede in some areas, but many vulnerable households will remain in need of emergency assistance for some months to come. (IFRC, 1 Feb 2014)",https://reliefweb.int/disaster/ff-2014-000009-tza
