disaster,month,year,status,disaster_type,affected_country,description,reference
Ghana: Floods ,Oct,2023,Past Disaster,Flood,Ghana,"Floods have been affecting south-eastern Ghana since 13 October, caused by the Akosombo Dam overflow in the River Volta, resulting in casualties and damage. According to media, as of 13 October, seven people have been injured and more than 4,000 people have been displaced in the downstream of the Akosombo Dam, in particular in Volta Region. In addition, media report that essential services such as access to water and electricity are disrupted. (ECHO, 16 Oct 2023)More than 26,000 people have been displaced so far by floods in south-eastern Ghana, according to national authorities. High water levels in the Akosombo reservoir led the Volta River Authority to start a controlled spillage process of the Akosombo and Kpong hydroelectric dams on 15 September 2023, which is still ongoing. The flooding has created a humanitarian challenge downstream in several communities in parts of the Volta, Eastern and Greater Accra regions. (OCHA, 18 Oct 2023)The Volta Region in Ghana has experienced heavy rains and high inflows of water to the Akosombo and Kpong dam reservoir, leading to severe flooding that has displaced 30,000 people in 8 districts. Infrastructure, crops, and shelters have been damaged, and access to essential services has been disrupted. (IOM, 27 November 2023)[...] Initial inter-agency assessment led by NADMO on the consecutive floods in Volta region revealed on 26 October, 35,857 people in total are already affected in the region. Following the situation, the local authorities requested the assistance of Red Cross on 30 October. The WFP observatory latest report of 24 October 2023 had estimated that 465,180 people are leaving in the flooded locations 45,326 hectares of flooded cropland areas. [...] Women, Children and the elderly less likely to cope in situation of stress due to displacements and living in crowded areas in the evacuation centers are the most vulnerable. [...] Patients in health facilities have also been affected and forced to locate to other facilities, thereby increasing the stress on existing facilities. (IFRC, 7 Nov 2023)",https://reliefweb.int/disaster/fl-2023-000215-gha
Sri Lanka: Floods and Landslides ,Oct,2023,Past Disaster,Flood1 more,Sri Lanka,"With the intensification of the southwest monsoon, Sri Lanka has experienced heavy rainfall in the Western, Sabaragamuwa, and Southern provinces. Based on the annual rainfall map of Sri Lanka, the southwest monsoon brings rain mainly from May to August to these regions of the island, while the northeast monsoon rains occur in the northern and eastern regions in December and January.  This unusual expansion of the southwest monsoon in the country began early in October 2023, but severe rainy conditions were encountered in the aforementioned provinces starting on 6 October 2023, and a red warning was issued to 7 districts on 7 October 2023. However, the Disaster Management Centre stated on October 9, 2023, that a large number of people were displaced owing to floods and landslides in the Gampaha, Matara, and Galle districts. This was the breaking point for SLRCS, which launched a larger response effort and assessed the situation in the three areas mentioned above [1]. The adverse weather conditions for more than a week caused seven deaths, while more than 75,000 people belonging to 20,450 families in 13 districts were affected. (IFRC, 20 Oct 2023)Since 1-2 November, several Districts of Sri Lanka are experiencing heavy rainfall and strong winds that caused floods, landslides and severe weather-related incidents leading to casualties and damage. According to the National Disaster Relief Centre (NDRSC), at least two people died - one in the Districts of Kurunegala and another in Kandy District- and three others have been injured in severe weather-related incidents. In addition, almost 2,400 people have been affected and 124 houses were damaged by floods, landslides and heavy rain. (ECHO, 8 Nov 2023)The humanitarian impact is still increasing following heavy rainfall and strong winds that caused floods, landslides and severe weather-related incidents across most parts of the country since the beginning of November. According to the National Disaster Relief Centre (NDRSC), eight people have died, of whom three in Kurunegala, two in Kandy, one in Puttalam, one in Ratnapura and another in Anuradhapura District, nine have been injured, almost 34,800 have been affected, and almost 960 houses have been damaged. (ECHO, 13 Nov 2023)The number of casualties is increasing following heavy rainfall and strong winds that caused floods, landslides and severe weather-related incidents across most parts of the country. According to the National Disaster Relief Centre (NDRSC), 19 people have died, 25 have been injured, more than 48,000 have been affected and 1,550 houses have been damaged. (ECHO, 24 Nov 2023)Since the beginning of December, several Districts of Sri Lanka have been experiencing heavy rainfall and strong winds that caused floods, landslides and severe weather-related incidents. According to the National Disaster Relief Centre (NDRSC), at least one person died in Kurunegala District due to lightning and three people were injured in a flood event that occurred in Kilinochchi District. In addition, more than 2,000 people have been affected and 243 houses damaged across almost 20 districts of the country. (ECHO, 12 Dec 2023)Heavy rainfall have been affecting most parts of Sri Lanka since 12 December, causing floods and landslides that resulted in damage. According to the National Disaster Relief Centre (NDRSC), two people died due to floods across Mullaitivu District (Northern ProRatnvince) and Rantnapura Districts (Sabaragamuwa Province), three have been injured and more than 25,958 people have been affected. In addition, and 244 houses have been partially damaged and four fully damaged. (ECHO, 19 Dec 2023)Since the end of 2023, heavy rain and strong wind has been hitting parts of the country, causing floods, landslides, and severe weather-related incidents and leading to casualties and damage. According to the National Disaster Relief Centre (NDRSC), two people died - one in Kohmale and another in Madulla Districts- and one person was injured due to severe weather-related incidents. In addition, almost 110,000 people have been affected and more than 324 houses damaged by floods, and severe weather events, across 13 districts of the country. Ampara and Batticaloa Districts in the eastern province are the most affected. (ECHO, 11 Jan 2024)In early January 2024, extensive rainfall across Sri Lanka led to widespread flooding in various regions of the island, causing a substantial impact on infrastructure and livelihoods. The district of Ampara bore the heaviest brunt, resulting in reduced food security in affected communities and households. [...] According to the National Disaster Relief Services Centre, over 175,000 people were affected by the floods and 294 infrastructures (houses/small and medium enterprises) were either partially or fully damaged as of 17 January. The Department of Agriculture (DOA) reports reveal extensive damage caused by the flood, with around 47,000 acres of paddy fully affected. This impact directly affects 20,064 farmers, constituting approximately 20 percent of the total cultivation area in the 2023 Maha season (74,000 hectares). (WFP, 15 Feb 2024)",https://reliefweb.int/disaster/fl-2023-000196-lka
Somalia: Floods ,Oct,2023,Past Disaster,Flood,Somalia,"Preliminary reports by the Ministry of Humanitarian Affairs and Disaster Management, South West State and humanitarian partners, estimate that nearly 107,000 people (17,831 families) were affected by heavy rains and flash floods on 4 October, in Baidoa District, Bay Region, South West State of Somalia. Several houses are reportedly inundated, including makeshift shelters hosting over 86,700 internally displaced people in 136 displacement sites in Baidoa City. Critical needs include shelter, food, clean safe water, hygiene and sanitation facilities, and medical assistance. The rains mark the beginning of the Deyr (October to December) rainy season in Somalia, expected to have above-normal rains and increased flooding due to the influence of the El Niño conditions in Somalia. (OCHA, 7 Oct 2023)The Federal Government of Somalia has declared an emergency in areas where torrential deyr (October to December) rains have triggered floods, according to the Somalia Disaster Management Agency (SoDMA). The heavy rains fueled by an El Nino, have intensified particularly in Puntland, Galmudug, South West, Hirshabelle states and in areas along the Juba river in Jubaland State. Partners estimate that as of 6 November, over 706,100 people have been temporarily affected, with over 113,690 people temporarily displaced from their homes across the country. South West and Jubaland states are the worst affected, with an estimated 268,243 and 268,365 people affected, respectively. In Hirshabelle, at least 145,800 people are reportedly affected, with 11,700 displaced following heavy rains on 5 November. Up to 400 families (2,400 people) are believed to be trapped by floods in Luuq and efforts are ongoing to urgently evacuate them. In Baardheere, local authorities are appealing for urgent support for more than 14,000 families that have been cut off from the main town and are unable to replenish their domestic supplies. (OCHA, 6 Nov 2023)Heavy rains and flooding have extended to more areas of Somalia, with 33 of Somalia’s 74 districts now deluged compared to 21 two weeks ago. The floods have also swept away 14 more people, pushing the death toll to 55 people from 41 last as of 17 November, including 14 children. Most newly affected districts are in South West State, Hirshabelle and Jubaland states, and Banadir region. The expanding emergency has affected at least 1.7 million people across Somalia, of whom 695,000 are displaced from their homes; an increase of 41,000 from last week. Vast swathes of farmland have been engulfed, properties destroyed and infrastructure damaged. In Luuq, the main bridge is flooded and at risk of being swept away. Buurdhubo bridge in Baardhere has been destroyed. (OCHA, 24 Nov 2023)The number of people affected by floods is estimated to be 2.48 million, including 1.2 million displaced from their homes and about 118 deaths, according to the Somalia Disaster Management Agency (SoDMA). At least 224 schools were also damaged across Somalia impacting the education of school going children. (OCHA, 24 Dec 2023)",https://reliefweb.int/disaster/fl-2023-000190-som
South Africa: Floods ,Sep,2023,Past Disaster,Flood,South Africa,"Severe weather between Sept. 23-26 resulted in flooding, loss of life and displacement of residents, severe damage on private and public infrastructure, road closures, and power outages across Western Cape province. The severe weather and flooding have affected at large group of people in the and around the city, including eight fatalities due to electrocution by illegal electricity connections. Damage assessments are ongoing, but initial reports indicate more than 1,500 structures impacted by flooding. The Kuils River overflowed, flooding Mfuleni Township and forcing around 2,710 families to evacuate. Reports also indicate evacuations in Faure and Sandvlei. Over 16,000 people have been reported to be affected by the floods. This is whilst 7,100 informal structures were adversely affected. According to News 24, it reported 11 fatalities in the affected areas. Furthermore, there are reports of nearly 250 schools which are affected by the disaster. [...] More than 100,000 people in Western Cape Province were without power at the height of the storm. Authorities have not restored power to most people, and around 15,000 remain without electricity as of Sept. 27. Authorities in Cape Town issued a major incident declaration due to the flooding. Flooding and associated disruptions are still ongoing across Western Cape Province. (IFRC, 16 Oct 2023)On 21-22 October heavy rainfall, severe thunderstorms and strong winds have affected KwaZulu-Natal Region, eastern South Africa, causing floods and severe weather-related incidents that resulted in casualties and damage. Media reports five fatalities in Mtubatuba Town in northeastern KwaZulu-Natal due to a thunderstorm. More than 70 houses have been destroyed, several roads and bridges have been damaged across Mtubatuba Town, Greater Kokstad and Umzimkhulu Municipalities. (ECHO, 24 Oct 2023)",https://reliefweb.int/disaster/fl-2023-000200-zaf
Sudan: Floods ,Sep,2023,Past Disaster,Flood,Sudan,"On 15 and 22 September 2023, heavy rains and flooding affected several locations across Nyala Janoub, Nyala Shimal, and Beliel localities in South Darfur, leading to wide-scale displacement. In Nyala Shimal, field teams reported that 750 houses were completely destroyed in Otash IDP Camp, and 259 houses were partially destroyed. Additionally, in Nyala Town, Nyala Janoub locality, a total of 240 houses were totally or partially destroyed. In Beliel locality, heavy rains also resulted in the complete damage of 1,000 houses in Kalma IDP Camp and 330 houses in As Serief IDP Camp, whereas 670 houses in both camps were partially damaged. Reportedly, all affected households have been displaced and are currently sheltering with their relatives and neighbours in their respective locations of origin. Additionally, field teams reported seven deaths and no injuries. The area remains inaccessible to humanitarian actors. DTM is monitoring the situation closely and will be activating its Emergency Event Tracking (EET) tool, when possible, to track displacement and provide additional information on shelter, sex and age disaggregation, protection indicators, and urgent humanitarian needs. (IOM, 5 Oct 2023)On 28 October, heavy rains and flooding occurred in several locations across Port Sudan City, Port Sudan locality, Red Sea State, reports IOM DTM. About 190 homes (affecting about 1,000 people) were damaged in 14 neighbourhoods. On 30 October, heavy rains and flooding occurred in Iram village of Sawakin locality. As a result, 10 people were reportedly killed, eight commercial buildings were damaged, a bridge collapsed, and many livestock were lost.Since the onset of the rainy season in July, about 89,000 people in 22 localities across nine states have been affected by heavy rains and flooding, according to the 2023 Sudan Floods Dashboard. The most affected state is Northern (34,000 people), followed by River Nile (19,000), North Darfur (13,000), South Darfur (16,000), Gedaref (2,000), White Nile (2,000), North Kordofan (1,000), Red Sea (1,000), and South Kordofan (1,000). Reports indicate that at least 8,227 homes have been destroyed and 7,540 damaged. In 2022, 349,000 people were affected by heavy rains and flooding across 16 of Sudan's 18 states. At least 24,860 homes were destroyed, and 48,250 others were damaged. (OCHA, 2 Nov 2023)",https://reliefweb.int/disaster/fl-2023-000199-sdn
Tropical Storm Daniel ,Sep,2023,Past Disaster,Flood2 more,Libya1 more,"Storm Daniel developed in Greece and was named by the Hellenic National Meteorological Service. [It] caused record-breaking rainfall in Greece on 5-6 September, with a reported 750 mm falling in 24 hours at a station in the village of Zagora. This is the equivalent of about 18 months of rainfall. In Thessaly, central Greece, many stations received 400 to 600 mm of rainfall in 24 hours. Thessaly is Greece’s agricultural heartland, and so the economic impacts are expected to be serious. (WMO, 12 Sep 2023)On 10 September, Storm Daniel made landfall in Libya causing severe weather conditions, including strong winds and sudden heavy rainfall affecting several northeastern areas of Libya (Benghazi, Tobruk, Toukra, Talmeitha, Almarj, Taknes (Al Jabal Al Akhdar), Al Owailia, Bayada, Albayda, Shahhat, Sousa and Derna). The storm reportedly led to significant infrastructure damage, including road network, disrupted the telecommunications network, and caused the displacement of at least 410 families (or around 2,050 individuals) and 35 migrants. (IOM, 11 Sep 2023)Following the flood and flash flood events that hit north-eastern Libya, according to WHO sources as of 14 September, over 5,000 are presumed dead, with a total of 3,922 deaths having been registered in hospitals. Over 10,000 people are still missing, so the numbers are likely an underestimation given the limited data available. Humanitarian partners are requesting USD 71.4 million to respond to the most urgent needs of 250,000 people targeted out of the 884,000 people estimated to be in need, over the next three months. Following the activation of the EU Civil Protection Mechanism on 12 September, 7 EU Member States (DE, FI, FR, IT, NL, RO, BE) have offered assistance consisting of an emergency medical team, search and rescue teams and equipment, heavy machinery, technical expertise and in-kind assistance (shelter, food and non-food items, power generators). In addition to EUR 500 000 released earlier this week to respond to urgent wash and health needs, DG ECHO has mobilised another EUR 5,2 million to address needs resulting from the floods, bringing the total funding to 5,7 million.(ECHO, 15 Sep 2023)According to UNHCR and UN OCHA, as of 21 September, the death toll reached more than 4,000 people, over 9,000 people remain currently still missing (in Derna) and 43,059 displaced (of which 24,500 in Derna, 3,000 in Al Bayda, 2,780 in Benghazi and 1,500 in Al Marj). In addition, IOM DTM reports over 900 relocated families from the affected area in eastern Libya and Derna toward western Libya, including in the Capital Tripoli. The reported figures are likely to increase as emergency interventions are ongoing. Over the next 48 hours, drier conditions are still forecast over the whole country. The EU Civil Protection Mechanism was activated on 12 September, so far various Member States delivered Search and Rescue Teams, Emergency Medical Teams, shelter and medical items, water tanks, generators and other items. The Copernicus Emergency Management Service (EMSR696) was activated and eight maps have been produced. (ECHO, 22 Sep 2023)The situation of the northeast of Libya continues to be fragile following the disastrous flooding of 10 September with a death toll exceeding 4200 people, according to the World Health Organization and over 40,000 still displaced, as per the International Organization for Migration. Needs remain for food, water, shelter, healthcare, and logistical support for the flood survivors, homeless and displaced people.(WFP, 29 Sep 2023)On Sunday 10 September, Storm Daniel struck the eastern coast of Libya. The cities of Benghazi, Al Marj, Al Bayda, Batah, Sousa, and Derna experienced extreme winds and massive flooding including from the collapse of two dams. Derna, the city most affected by the disaster saw significant destruction and loss of lives; 40,000 people have been internally displaced. An estimated 250,000 people need humanitarian assistance, including health, WASH, food, NFIs, and education. As of 30 September, international assistance provided by the UN and its partners had reached over 125,000 affected people. (OCHA, 29 Sep 2023)Beginning on 9 September 2023 Storm Daniel hit Libya, leading to substantial rainfall and sudden floods in the northeastern regions and coastal cities, with Derna being the most affected. The subsequent collapse of the Mansour and Derna dams severely compounded the damage suffered across Derna municipality. As of 19 October, 4,345 fatalities were confirmed and approximately 8,500 people are still missing. As of October 2023, DTM Libya estimates 44,862 IDPs were displaced as a result of the flooding. (IOM, 29 Sep 2023)",https://reliefweb.int/disaster/fl-2023-000168-lby
Myanmar: Floods and Landslides ,Sep,2023,Past Disaster,Flood1 more,Myanmar,"Severe weather conditions continue to trigger floods in multiple areas, compounding the already precarious living conditions of people affected by ongoing armed clashes which continue across the country. In Sagaing, approximately 1,000 people from six wards in Kale Town were relocated to safer locations on 8 September due to flooding. (OCHA, 19 Sep 2023)Heavy rainfall has been affecting southern Myanmar since 8 October, causing widespread floods and resulting in casualties and damage. According to ASEAN Disaster Information Network (ADINet) and media, as of 9 October due to floods more than 12,155 people have been internally displaced, of whom 12,000 in Bago Township of Bago Region, 100 in Taikkyi Township of Yangon Region and 55 in Kyaikhto Township of Mon State due to floods. (ECHO, 10 Oct 2023)According to media reports, as of 11 October, there have been five fatalities and 35 people have been injured. Some 27,300 people are reported to have been displaced, including people who had already been displaced and were staying across 47 relief camps. About 2,800 houses have been damaged. (ECHO, 11 Oct 2023)On 12 October, water was discharged from the Se Taw Gyi dam located in Madaya township within the Mandalay region. This discharge followed a period of heavy rainfall, which led to the unexpected flooding of several villages in central Myanmar's Mandalay region. According to reports more than 30,000 people were compelled to evacuate their homes, leaving their possessions behind. (IFRC, 22 Oct 2023)The impact of these floods on agriculture has been severe, especially in the Southeast. According to partners, around 100,000 acres of paddy were damaged in Bago, with townships including Bago, Daik-U, Htantatbin, Gyobingauk, and Zigon being the hardest hit. Both ready-to-be-harvested and already-harvested paddy crops were damaged. [...] In response to flooding in the Southeast, local and international humanitarian organizations initiated immediate relief efforts to address the emerging needs in the affected areas. In Bago, 45 temporary relief sites were established to aid flood-affected communities in 9 villages in Bago township. These sites accommodated 5,920 households affected by the flood. [...] The humanitarian community continues to face access constraints across Myanmar, mainly due to ongoing military operations; administrative restrictions, including refusal of Travel Authorizations (TAs) and issues around NGO registration; and physical constraints caused by the Monsoon. (OCHA, 10 Nov 2023)",https://reliefweb.int/disaster/fl-2023-000189-mmr
Brazil: Floods ,Sep,2023,Past Disaster,Flood1 more,Brazil,"Intense weather is causing casualties and damage across southern Brazil. Since 4 September, an extratropical cyclone, bringing heavy rainfall, strong winds and hailstorms, has been severely affecting the states of Santa Catarina and Rio Grande do Sul. According to the latest assessment from the Civil Defence in Rio Grande do Sul, the severe weather has affected at least 340,928 people across 93 municipalities, leaving 46 people dead, 46 people missing and 924 injured. Some 3,130 people have been rescued, while 20,498 residents have been displaced and a further 4,794 have been left homeless. In certain areas, river levels have surged to 17 metres above average, obstructing access from the capital city of Porto Alegre and the state's northern regions. This has complicated both the delivery of aid and the assessment of damages. In the state of Rio Grande do Sul, millions have been exposed to the impact of the cyclone and thousands directly impacted with damages to their homes. Entire communities are isolated and people have been waiting to be rescued. Both states are currently responding with their own resources and capacities. While the volumes of rain that have occurred in the first days of September have already exceeded the historical average in most parts of Rio Grande do Sul, the state’s Civil Defence and Secretariat of the Environment and Infrastructure (SEMA) have warned of continued severe weather from Monday 11 September through Friday 15 September. Meteorologists explain that the conditions of El Niño are influencing normal meteorological systems, bringing cold fronts, low pressure and extratropical cyclones that lead to greater frequency and intensity of rainfall. (OCHA, 11 Sep 2023)On 14 September 2023, the state government of Rio Grande do Sul, Brazil, published an update on the heavy rains affecting the state. There were 354,711 people affected (7,059 increase since the 13 September report), 940 people were reported with injuries (15 increase), and 25,855 people were displaced (544 increase since the 12 September report). (PAHO, 15 Sep 2023)",https://reliefweb.int/disaster/fl-2023-000169-bra
Liberia: Floods ,Sep,2023,Past Disaster,Flood,Liberia,"From 1st to 4th September, Liberia experienced excessive heavy rainfall in several cities with highest flooding reported in North-Eastern counties of Liberia: Grand Cape Mount, Bong and Montserrado. Areas especially affected are Kru Town; Gbarnga City and Monrovia coastal and urban side as well as the surrounding areas. In total, around 15,200 people are reported to be affected by both urban and coastal floods which swept away infrastructure, fishing settlements, houses, communities' facilities etc. On 4th September, Monrovia and its environs recorded the major impact following the five days cumulative rains from 30 August that affected approximately 12,450 persons (1,778 HHs). The affected are mostly surrounding Monrovia or bordering Sierra Leone and the river crossing the North East of the country. The Liberia Meteorological Department has predicted continuous rains in September and October 2023 across all counties in the country. Obviously, with continuous heavy rainfall, it could trigger additional flooding in low-lying communities near rivers and streams. (IFRC, 15 Sep 2023)",https://reliefweb.int/disaster/fl-2023-000167-lbr
Nigeria: Floods ,Aug,2023,Past Disaster,Flood,Nigeria,"On 28 August, the Ministry of Humanitarian Affairs and Poverty Alleviation warned that about 13 Nigerian states would be at risk of intense flooding. It would happen between August and October, following the opening of the Lagdo Dam in Cameroon. The Nigerian Government identified the states most prone to flooding including Kogi, Benue, Adamawa, Bauchi, Borno, Gombe, Taraba, and Yobe. Floods in 2022 left over 600 people dead and affected more than 4.4 million people, according to the National Emergency Management Agency. The Government has set up a situation room and initiated a flood emergency preparedness and response plan, with temporary shelter and other relief items for affected people. Humanitarian actors in Borno, Adamawa, and Yobe States are complementing the government’s effort through engagement and sensitization of flood-prone communities. (OCHA, 31 Aug 2023)The recent release of water from Cameroon’s Lagdo Dam has led to massive destruction, due to which there is damage to properties, foodstuffs, non-food items (NFI), shelter, and even displacement of the population in Adamawa State. On 5th October 2023, there was a rise in the water level in the Lagdo Dam due to heavy rainfall, which exaggerates the experience of flooding in the Adamawa state. Out of 21 LGAs in Adamawa State, 14 LGAs have been affected by the floods and windstorms. 33 deaths were recorded, with 504 households comprising 51,043 individuals affected across 214 communities. 81 IDP camps were established across Yola South, Yola North, Lamude, Madagali and Demsa LGAs respectively. (CCCM Cluster, IOM, Shelter Cluster, UNHCR, 13 Oct 2023)",https://reliefweb.int/disaster/fl-2023-000193-nga
