disaster,month,year,status,disaster_type,affected_country,description,reference
occupied Palestinian territory: Cold Wave ,Jan,2022,Past Disaster,Cold Wave2 more,oPt,"Starting 20 January 2022, the occupied Palestinian territories (oPt) was hit by extreme weather conditions including heavy rain floods, winds, snow, and low-temperature cold wave. The Meteorological Office of the Ministry of Transport issued a report on February 10 showing the amount of precipitation recorded to date, which exceeded average precipitation levels (Gaza 104%, and 114% Beit Hanon). The heavy rain generated floods in several parts of Palestine, affecting thousands of people and forcing many families to flee their homes. The extreme weather conditions resulted in the death of four people due to improper use of heating sources in the West Bank. The weather events have deeply affected local communities, particularly in the Gaza Strip, where thousands of people remain displaced and live in semi-structured or transitional shelters or tents due to the loss of their homes during the recent escalation in hostilities. (IFRC, 12 Feb 2022)",https://reliefweb.int/disaster/cw-2022-000163-pse
Madagascar: Floods and Landslides ,Jan,2022,Past Disaster,Flood1 more,Madagascar,"Intense rainfall caused by two different tropical weather systems which have impacted Madagascar over the last week has driven flooding, landslides, destruction of infrastructure and loss of life, particularly affecting the country’s capitalAntananarivo, and other areas of Analamanga Region, in the centre of the country. The rains were initially driven by an Intertropical Convergence Zone around 17 January and increased when a Tropical Depression made landfall in the east of the country on 22 January and exited the other side of the island on 23 January. (OCHA, 24 Jan 2022)",https://reliefweb.int/disaster/st-2022-000138-mdg
Tropical Cyclone Cody ,Jan,2022,Past Disaster,Flood1 more,Fiji,"Tropical Disturbance TD03F intensified into a Tropical Depression on 8 January 2022. By 10 January, it had transformed into the category 1 Tropical Cyclone Cody, bringing significant rain affecting the whole of Fiji. [...] The high level of precipitation over the Fiji group between 8-15 January has been significant and made most of the western and central divisions water-logged and highly susceptible to flooding. Extensive flooding in the Western region has also affected some communities in the Central and Eastern divisions. Water levels were slow to subside in some areas due to saturated land. (IFRC, 19 Jan 2022)",https://reliefweb.int/disaster/tc-2022-000007-fji
Iran: Floods ,Jan,2022,Past Disaster,Flash Flood1 more,Iran,"According to the Iranian Meteorological Organization, heavy rainfalls with thunderstorms started on 1 January 2022 in most Iranian provinces and lasted four days. Over 80,000 people were affected in 20 provinces. The most affected provinces are Sistan Baluchestan (in the south), Hormozgan (in the east), Kerman and Fars, Bushehr, and Khuzestan. The floods resulted in damages to power supply, roads/access/infrastructure, agricultural lands, bridges, domestic animal husbandry, houses/residential buildings, and drinking water supply schemes. The heavy flash flood resulted in the death of ten people in the counties of Chabahar, and Mehrestan in Sistan and Baluchestan Province, Darab, Lamerd, and Beyram in Fars Province and Sirjan in Kerman Province.As a result of the floods, transportation has been halted, and relief supplies have been delivered to flood-affected cities by IRCS air rescue choppers. Affected people were evacuated to safe areas by IRCS rescuers. Outpatient services were provided to injured people, and those in need were transported to medical centers. In addition to rescue and relief efforts, aid workers pumped water out of 570 houses and recovered 290 vehicles. The worst-hit area is south of Sistan Baluchestan. While the operation in south Kerman has been completed, the operation in eastern Hormozgan is still ongoing. (IFRC, 14 Jan 2022)",https://reliefweb.int/disaster/fl-2022-000002-irn
Sao Tome and Principe: Floods and Landslides ,Dec,2021,Past Disaster,Flood1 more,Sao Tome and Principe,"Rainfall in 2021 in Sao Tome and Principe peaked between 27 and 28 December 2021, causing the water levels of the country’s rivers to rise. In less than 24 hours, the rain that fell on the archipelago caused chaos in the capital city and in several other parts of the country, especially areas through which streams run and next to rivers. According to the country's Meteorological Institute, the country had not seen such heavy rainfall in over 30 years. [...] On 30 December 2021, the government of Sao Tome declared a state of disaster due to the damage caused and appealed for international aid during a meeting attended by international actors in the country and embassies. (IFRC, 13 Jan 2022)",https://reliefweb.int/disaster/fl-2021-000213-stp
Malaysia: Flash Floods ,Dec,2021,Past Disaster,Flash Flood2 more,Malaysia,"The newly formed Tropical Depression TWENTYNINE made landfall in an area in Kemaman District (southern Terengganu State, north-eastern Peninsular Malaysia) in the late evening of 16 December, and of 17 December at 0.00 UTC [...] According to [AHA Centre], more than 380 people have been displaced to evacuation centres in Terengganu and Kelantan States. (ECHO, 17 Dec 2021)According to media reports, at least two people died (one in Pahang and another in Terengganu States). The Malaysian National Disaster Command Centre (NDCC) reports 37,670 people (of which 18,119 in Selangor and 15,049 in Pehang States) displaced in 388 evacuations centres across eights States. Floodwaters have damaged a number of buildings, road and infrastructure, including three water treatment plants in Selangor. (ECHO, 20 Dec 2021)The Malaysia’s Agensi Pengurusan Bencana (NADMA) has reported that 33 districts in eight states across Peninsular Malaysia (Perak, Selangor, Kuala Lumpur, Negeri Sembilan, Melaka, Kelantan, Terengganu, and Pahang) are affected by floods [...]  Around 70,000 people are directly impacted, with 67,629 persons (18,650 households) displaced in 470 evacuation centres. As of 23 December, 37 deaths have been reported, with some bodies still missing. [...] This flooding also significantly impacted people's livelihoods, hitting the state of Selangor and the Federal Territory of Kuala Lumpur hard, where the population density is highest in the country, and prolonged flooding is not the norm. Unofficial estimates place the economic losses at around USD 200 million. Dozens of roads and highways remain closed. There have been unscheduled water cuts and disruptions to the electricity supply. Search and rescue have been hampered by a lack of assets (boats and other vessels) to navigate through the waterways formed around high-density residential areas near low-lying flood basins, exacerbated by coordination issues between authorities. The situation is worsened in low-cost housing areas, where residents of single-storey linked houses do not have the option of moving themselves and their assets to the upper floors. There have been medical evacuations as the elderly and people with chronic diseases suffered from lack of food, running water, disrupted electricity supply and shortage of medication. (IFRC, 27 Dec 2021)Since mid-December, floods and landslides caused by heavy rainfall have been affecting Malaysia, with an important impact on the local population. According to media reports, up to 50 people have died (of which 25 in Selangor, 21 in Pahang and four in Kelantan) and two others are missing. As of 3 January, the Malaysia National Disaster Management Agency (NADMA) confirms that the States of Kelantan, Terengganu, Selangor, Pahang, Johor, Malacca, Negeri Sembilan and Sabah are still affected by floods, with 14,459 individuals taking shelter at 191 evacuation centres. (ECHO, 3 Jan 2022)Over the past few days, heavy rainfall affected Pitas District in the Malaysian state of Sabah (northern Borneo Island), causing widespread floods. According to the ASEAN Disaster Information Network (ADINet), 311 people have been evacuated in three evacuation centres. (ECHO, 7 Feb 2022)Since 13 February, floods have been affecting Pahang and Sabah States of Malaysia. According to the ASEAN Disaster Information Network (ADINet), 105 people have been displaced to evacuation centres in Raub District (western Pahang State), and Tongod District (central Sabah State). (ECHO, 16 Feb 2022)Heavy rain and strong winds affected peninsular Malaysia over the past few days, causing floods and resulting in damage. According to the ASEAN Disaster Information Network (ADINET), at least 20,000 have been evacuated in 225 evacuation centres across three States of peninsular Malaysia (Kelantan, Pahang, and Terengganu). (ECHO, 28 Feb 2022)On 6-7 March, floods caused by heavy rainfall were reported across central-western of Peninsular Malaysia. According to the ASEAN Disaster Information Network (ADINet), more than 1,290 people have been displaced to 14 evacuation centres across the States in Kuala Lumpur, Melaka, Negeri Sembilan, and Selangor. Particularly in Selangor, 1,020 people have been displaced, after floods affected the Districts of Gombak, Hulu Langat, Kuala Langat, Petaling and Sepang. (ECHO, 9 Mar 2022)A landslide occurred in Hulu Langat District (Selangor State, western peninsular Malaysia) on 10 March, resulting in casualties and damage. The event has been triggered by heavy rain that has been affecting most of Malaysia since 5 March. According to the ASEAN Disaster Information Network (ADINet), four people have died and one person is still missing. At least 14 people have been displaced, 75 affected, and 15 houses damaged or destroyed. Flood events have been recorded in the States of Malacca, Negeri Sembilan and Selangor where almost 1,300 people have been sheltered in evacuation centres. (ECHO, 14 Mar 2022)Heavy rainfall has been affecting southern Peninsular Malaysia since 18 March, causing floods that have resulted in displacements and damage. The ASEAN Disaster Information Network (ADINet) reports, as of 21 March, nearly 615 displaced people in Bentong District (western Pahang State, bordering with the Kuala Lumpur area). (ECHO, 21 Mar 2022)Heavy rainfall has been affecting southeastern Peninsular Malaysia (in particular the Pahang State) since 10 May, causing floods that have resulted in evacuations and damage. Media report, as of 12 May, around 100 evacuated people and nearly 150 damaged houses across the Bentong District (north-east of the Kuala Lumpur area, Pahang State). (ECHO, 12 May 2022)",https://reliefweb.int/disaster/fl-2021-000209-mys
Iraq: Flash Floods ,Dec,2021,Past Disaster,Flash Flood1 more,Iraq,"On 17 December 2021, heavy rainfalls hit the country's northern Kurdish region. The heavy rains overnight caused a flash flood in Erbil, the region’s capital, and Kirkuk Governorate, located in Northern Iraq. The incident caused widespread damage to houses, infrastructure, and vehicles. Muddy water swept into people’s homes in Erbil's Daratu, Qushtapa, Shamamk, Zhyan, Roshinbiri, and Bahrka neighbourhoods in the early hours of the morning, forcing individuals out of their houses. According to the Kurdish region government on 19 December, 14 people were reported dead by the floods and more than 7,000 people are affected, while IRCS carried further rapid assessments to confirm with the families. More are feared missing while search and rescue operations are ongoing. [...] The disastrous heavy rains came at a time when Iraq was suffering with severe droughts, where seven million Iraqis have been already affected and most of the agricultural land is completely affected by the droughts spell and left people with more vulnerabilities. [...] Iraq is particularly vulnerable to the effects of extreme weather patterns, most likely caused by climate change due to its underdeveloped infrastructure. More heavy rain is expected in the coming days, according to the Regional Meteorology Department. (IFRC, 27 Dec 2021)",https://reliefweb.int/disaster/fl-2021-000208-irq
Typhoon Rai ,Dec,2021,Past Disaster,Flood2 more,Philippines3 more,"The newly formed tropical depression TWENTYEIGHT is moving westwards over the western Pacific. On 13 December, at 0.00 UTC, its centre was located about 350 km south-east of Sorol Island (Caroline Islands, Federated States of Micronesia), and 810 km south-east of Palau, with maximum sustained winds of 45 km/h. In the morning of 13 December, TWENTYEIGHT is forecast to strengthen to a tropical storm, as it continues westwards over the Pacific Ocean, passing south of Sorol. (ECHO, 13 Dec 2021)On 15 December, Typhoon Rai (locally named Odette) further intensified and became of typhoon strength while it continued to move west northwestward. According to the Philippines weather bureau, PAGASA, Typhoon Rai continues to gain strength, currently packing maximum winds of 130 km/h and gustiness of up to 160 km/h and is expected to make landfall in the vicinity of Surigao Provinces or southern portion of Eastern Visayas late on Thursday,16 December with high winds up to 155 km/h. The typhoon is forecasted to make landfall in vicinity of CARAGA or Eastern Visayas, then move slightly north westward and cross several provinces in Central and Western Visayas regions before emerging over the Sulu Sea on Friday. Typhoon Rai’s sustained winds may reach its peak intensity of 155 km/h before landfall [...] Areas along the typhoon’s track will experience torrential to intense rains and strong gale winds with is a high risk of wind damage, rain-induced landslides, flash floods and flooding, particularly in areas that experienced significant antecedent rainfall earlier in December. (OCHA, 15 Dec 2021)The government pre-emptively evacuated over 330,000 people in Northeastern Mindanao and Visayas ahead of a potentially devasting impact of the Super Typhoon Rai/Odette. Needs assessments ongoing but hampered by flooded and blocked roads and interruption of other lifelines [...] According to the initial reports of the National Disaster Risk Reduction Management Council (NDRRMC) and the Department of Social Welfare and Development (DSWD), over 330,000 people have been pre-emptively evacuated, 674 evacuation centers are open and as of now one 1 death and 2 injured are reported. The onslaught of a typhoon cut essential lifelines, leaving 63 cities and municipalities without electricity, affecting 73 seaports and cancelling over 160 domestic and international flights. (OCHA, 17 Dec 2021)Typhoon Rai made initial landfall in Siargao Island, province of Surigao del Norte in Caraga region, northern Mindanao on 16 December 2021. It carried gusts up to 270 km/h with maximum sustained winds of 195 km/h near the centre making it the strongest storm to make landfall in the Philippines this year. The trail of the Typhoon Rai crossed the Philippine archipelago from Caraga to Eastern and Central Visayas and Palawan. [...] The latest government figures indicate 130,128 families or 477,614 people affected in 1,417 barangays in Regions V, VI, VII, VIII, X, XI, Caraga and MIMAROPA [...]. Due to power disruptions and intermittent signals, it has been challenging to obtain further details from the ground. Hence, these reported numbers are expected to increase significantly. Pre-emptively 332,855 people were evacuated, and 1,603 evacuation centres hosted 77,494 families (289,049 individuals). Initial estimated number of people living in the affected areas is 15.9 million, of which 9.1 million people are live in the worst affected areas (AHA Center). (IFRC, 18 Dec 2021)As of 21 December, a total of 2.4 million people are affected across 10 regions in 4,293 barangays or villages. Around 684,000 displaced people are reported in five regions with 440,000 people in evacuation centers. A total of 139,000 houses have been damaged, out of which 53,800 are totally damaged. (OCHA, 21 Dec 2021)As of 27 December, a total of 4.6 million people are affected across 10 regions in 6,057 barangays or villages. Around 571,000 displaced people are reported in five regions with 315,000 people in evacuation centers. A total of 405,000 houses have been damaged, out of which 127,800 are totally damaged. (OCHA, 27 Dec 2021)To date, over 6.2 million people were affected across 10 regions. About 580,000 of them remain displaced with 356,000 people staying in evacuation centres and 227,000 people staying with host families or friends. Latest death count has totalled to 397. Urgent needs are food and non-food items (NFIs), clean water and sanitation facilities, shelter, hygiene kits, medical supplies and restoration of livelihoods. As per NDRRMC report on 30 December, 161 cities/municipalities have restored power out of 284 that experienced power outage or interruptions. While 79 cities/municipalities have restored communication lines out of 189 that experienced interrupted services. Estimated agricultural damages include 80,000 hectares of crops, 1.2 million livestock and poultry and 5,024 agricultural infrastructure and equipment costing about Php 5.5 billion (or $108 million). (OCHA, 30 Dec 2021)As of 3 January 2022, a total of 6.8 million people are affected across 11 regions in 6,794 barangays or villages. Around 539,000 displaced people are reported in five regions with 349,000 people still in evacuation centers. A total of 830,000 houses have been damaged, out of which 240,000 are totally damaged. Response clusters have been activated and are being convened under the leadership of the relevant government line agencies. OCHA is supporting overall coordination of the Humanitarian Country Team in responding to most urgent needs in Caraga and Region VIII and has released a Humanitarian Needs and Priorities document requesting $107.2 million for the next 6 months. (OCHA, 3 Jan 2022)The humanitarian response continues three weeks since the landfall of  super typhoon Rai, which is estimated to have damaged 1,234,079 houses (339,303 totally damaged; 894,776 partially damaged). According to Government report, 170,589 displaced people remain in 1,025 evacuation centers (ECs) in six regions. Priority concerns are access to electricity, potable water, and WASH facilities. The displaced people are
also at higher risk of COVID-19 infection because of overcrowding in evacuation centers. The Department of Social Welfare and Development (DSWD) has distributed US$10 million worth of assistance – including food, water and non-food items, with additional reserves of $17 million in funding and in-kind assistance available in warehouses. Since the launch of the Humanitarian Needs and Priorities (HNP), funding received is at $20.6 million (or 19.2 per cent) within the HNP and another $28.6 million outside the HNP. Funding received for HNP includes a $12 million from the Central Emergency Response Fund (CERF) which has been allocated to IOM, UNICEF, WFP and UNFPA. (OCHA, 10 Jan 2022)As of 13 January 2022, a total of 8 million people are affected across 11 regions in 8,779 barangays or villages. Around 200,000 displaced people are reported in five regions with 160,000 people still in evacuation centers. A total of 1,400,000 houses have been damaged, out of which 400,000 are destroyed. Due to a surge in COVID-19 cases, the pandemic continues to threaten public health and safety and is also creating multiple operational challenges for the humanitarian response. Women and girls continue to face disproportional impacts due to limited access to sexual and reproductive health services, increased risk to gender-based violence, and disruptions in protection services. Children are at risk of falling behind due to school closures (6,200 classrooms are damaged nationwide) and increasing food insecurity resulting in malnutrition. (OCHA, 13 Jan 2022)One month on, families are still reeling from the storm’s effects and struggling to pick up the pieces of their lives. Meanwhile, a country-wide COVID-19 surge and heavy rains linked to La Niña are severely hampering the response in the Caraga region in north-eastern Mindanao, and the Leyte and Southern Leyte provinces of the Visayas islands. While many of the displaced people have returned home, 160,000 people remain in evacuation centres. Hospitals are at limited capacity and many health facilities have been damaged, which include COVID and birthing facilities. There are over four million women and girls of reproductive age in the affected areas with 162,000 believed to be pregnant. Many women and girls have been left without access to reproductive health support. This will be further worsened by the current COVID-19 surge. The typhoon has further impacted the already grim malnutrition rates in the CARAGA and Eastern Visayas areas. In the CARAGA region, 53 per cent of families already couldn’t afford a nutritious meal and in Eastern Visayas 42 per cent of children were stunted. 135,000 students in 835 schools are affected in the Caraga region alone. The damages to farmland has been catastrophic with over 440,000 hectares of farmland affected. hectares of farmland affected. With many of the affected in small islands and geographically isolated areas, this disaster has presented many logistical challenges to get aid to those most in need. (OCHA, 20 Jan 2022)As of 20 January, the number of assessed damaged houses has increased to 1,570,240 houses. Of these, 423,492 are completely destroyed with the most affected provinces are Cebu, Bohol (region VII) and Surigao del Norte (region XIII) accounting for 61% of destroyed homes. In Palawan, government reports have shown 77,000 houses are damaged or destroyed which housed over 385,000 individuals. However, the damage from the Typhoon goes well beyond the direct impact to housing and sanitation facilitates, to disruptions to livelihoods, infrastructure and massively increased protection risks in the most vulnerable communities. Over 220 health facilities have been damaged, and access to others is disrupted, further complicated by the severity of the COVID-19 outbreak over the past month. In terms of impact to the agriculture sector, the damage and losses report from the Department of Agriculture (DA) as of 18 January 2022 showed that the total value of damages and losses is at over US$261 million. Partners issued a preliminary assessment on labor and employment indicating that almost 2.2 million workers are estimated to have been directly impacted. Across all affected regions, understanding and assessment of complex protection concerns related to disability, GBV, sexual and reproductive health and other vulnerabilities, especially among adolescents, girls and women, and other vulnerabilities remain under-assessed. Based on the report from the Philippine National Police Regional Women and Children Protection Desk CARAGA, there is a potential increase in GBV. (OCHA, 24 Jan 2022)As of 27 January 2022, a total of 9.9 million people are affected across 11 regions in 9,500 barangays or villages. Around 144,000 displaced people are reported in five regions with 80,000 people still in evacuation centers. A total of 1,700,000 houses have been damaged, out of which 415,000 are destroyed. Due to a surge in COVID-19 cases, the pandemic continues to threaten public health and safety and is also creating multiple operational challenges for the humanitarian response. (OCHA, 27 Jan 2022)While electricity services are being restored, many locations remain without power and 76 municipalities still have limited access to communications for voice and data even six weeks later. At least 220 health facilities have been damaged, and many are running at limited capacity with lack of fuel, medicines and supplies, even as a new wave of Covid-19 is affecting many areas. The typhoon has reversed the school reopening process, increasing the levels of learning loss already caused by school closures and the risk of permanent drop-outs, neglecting children’s right to education. Over 4,000 classrooms have been destroyed and 2 million children’s learning has been disrupted, compounding the impact from Covid-19 measures. (OCHA, 2 Feb 2022)To date, UNICEF reached over 46,000 individuals with emergency WASH supplies. In addition, 2,100 individuals have accessed temporary district hospitals and rural health facilities established in UNICEF tents. Around 1,841 children were screened for malnutrition, while 2,071 children and caregivers have accessed mental health and psychosocial support. More than 9,000 children have accessed education supplies and services. (UNICEF, 8 Feb 2022)According to government reports, the typhoon affected a total of 10.8 million people across eleven regions in 10,100 barangays/villages, killed around 405 people with thousands injured, and displacing nearly 3 million people. More than 133,000 people remain displaced with 77,000 people still in evacuation centers. A total of 1.9 million houses have been damaged, out of which 427,000 were totally damaged. As per the NDRRMC report of 9 February 2022, 10 million hectares of crop area were destroyed, over 120,000 livestock and poultry were lost, while the cost of damages to fisheries are estimated at over 2 billion Philippines Pesos (US 39Million). Seven weeks on, $28.6 million worth of assistance has been provided to the affected families by the Government. Camp management and shelter, WASH, protection and GBV, agriculture and health remain the top priority. On 2nd February 2022, the Humanitarian Country Team launched the revised Humanitarian Needs and Priorities plan for six months to supplement the ongoing relief efforts led by the Government. The plan seeks $169 million, up from $107 million. (OCHA, 11 Feb 2022)In typhoon-affected areas of Bohol and Cebu (Region VII), needs have evolved from life-saving assistance to early recovery, according to a scoping mission by OCHA that met with the Department of Social Welfare and Development (DSWD)'s Regional Office and Provincial Disaster Risk Reduction and Management Office (PDRRMO) between the 13 to 16 February. The scoping mission was deployed to Region VII to identify the humanitarian needs and gaps in the aftermath of Typhoon Rai (Odette), map the presence of humanitarian agencies and assess the coordination capacity of the government. Although there is limited humanitarian presence, Region VII has a relatively higher response capacity and has rolled out a voucher assistance program for shelter. (OCHA, 2 Mar 2022)As of 25 March 2022, 100 days have passed days since Typhoon Rai/Odette swept through 11 of the country's 17 regions. More than 21,000 people remain displaced after Typhoon Rai’s landfall last 16 December 2022 and to date over 2.1 million houses were damaged of which 425,000 were completely destroyed and 1,702,428 partially damaged, according to the latest government reports. On 15 March 2022, the Caraga Regional Disaster Response Committee issued deactivation of regional coordination mechanism for Typhoon Rai response operations. The guidance cites the closure of evacuation centers; decreasing the number of augmentation requests from the local government, particularly of food packs; and deactivation of regional response clusters. The government member agencies, cluster leads and concerned agencies continue to monitor and respond to the affected families as necessary, with the HCT partners augmenting response of local government units. (OCHA, 25 Mar 2022)More than 12,000 people remain displaced across the typhoon affected areas more than three months after Typhoon Rai’s landfall last 16 December 2021. As of 27 April 2022, a total of 12 million people are affected across 11 regions. A total of 2.1M houses have been damaged, out of which 406,000 are destroyed. A total of $56.6 million has been mobilized by international community to date to support Typhoon Rai relief operations – or 33.5 per cent of total funding requirements under the Humanitarian Needs and Priorities (HNP) plan – which resulted in humanitarian agencies implementing over 11,000 multi-sectoral interventions to support the government’s response. (OCHA, 27 Apr 2022)Department of Social Welfare and Development (DSWD) reports that 1,767 families (or 6,825 individuals) are still displaced in Regions VI, VII, VIII, MIMAROPA, and Caraga due to Typhoon Rai. Out of this total displaced population, 1,117 families (4,437 individuals) are in 124 evacuation centers (EC) and 650 families (2,388 individuals) are outside ECs staying with relatives or friends. Over 2.1 million houses were damaged of which 425,000 were destroyed and 1,702,428 were partially damaged, according to the latest government reports. The international community has mobilized much needed support Typhoon Rai relief operations totaling $77 million– or 45.6% percent of total funding requirements under the Humanitarian Needs and Priorities (HNP) plan. (OCHA, 26 May 2022)As of 8 July, DSWD reports that 907 families (or 3,351 individuals) are still displaced in Regions VI, VII, VIII, MIMAROPA, and Caraga. Among them, 643 families (2,377 individuals) are in 81 evacuation centers (EC) and 264 families (974 individuals) are outside evacuation centers staying with relatives or friends. On 30 June, The National Disaster Risk Reduction and Management Council (NDRRMC) approved the rehabilitation and recovery plan for Typhoon Rai, outlining key priority programs, projects and activities for funding under the National DRRM Fund and agency regular budgets up to the year 2025. Food Security and Agriculture cluster partners have started their transition from response to early recovery activities. A recovery response matrix was developed for the next 6 months to carry out cash for work and in-kind distribution and training for livelihood support. (OCHA, 8 Jul 2022)",https://reliefweb.int/disaster/tc-2021-000202-phl
Brazil: Floods ,Dec,2021,Past Disaster,Flood1 more,Brazil,"On 7 December 2021, storms caused by the passage of a subtropical cyclone affected several cities in the south of Bahia state in Brazil. The National Centre for Disaster Prevention (Cemaden) recorded rainfall of 450 mm in the Itamaraju municipality and 171 mm in Porto Seguro municipality in Bahia state. According to the latest report of the Superintendence for Protection and Civil Defence of the State of Bahia (Sudec), 12 people died, 267 people were injured, 6,371 were left homeless, and 15,199 were displaced. The population affected by the floods is registered at 220,297 people. Gabo Bravo and Jucuruçu rivers' overflowing led to floods that isolated regions in Bahia and Minas Gerais states, damaging homes and infrastructure (roads and bridges). A total of 21 municipalities are affected, with more serious impact in Jucuruçu, Itagimirim, Porto Seguro and Medeiros Neto municipalities. By 7 December, municipal declarations of emergency were issued. On 10 December, the Federal Government of Brazil declared a state of emergency in at least 50 affected municipalities in Bahia and Minas Gerais.  (IFRC, 16 Dec 2021)163 municipalities reported emergency state due to a dam collapse followed by flooding last December 23rd in Bahia state. The southern part of Bahia state and north of Minas Gerais state are suffering from the consequences of the floods: houses, schools, hospitals and other infrastructures have been destroyed and damaged along with other losses. Total affected population is estimated to be 815,597 with an estimated 101,256 people in need, of those, 28,224 people displaced staying in shelters and 73,032 people being hosted by family and friends; with 2 missing, 520 wounded and 26 deaths.(UNICEF, 7 Jan 2022)Heavy rainfall continues to cause widespread flooding and landslides across Minas Gerais and Bahia States (south-east Brazil), leading to an increased human impact. In Bahia, the number of fatalities stands at 26, while two people are missing, as reported by the Government of Bahia. About 87,550 persons have been displaced and up to  856,820 individuals have been affected by floods and landslides across 183 municipalities. According to the Civil Protection authorities in Minas Gerais, at least 19 people have died, of which five due to a landslide that occurred in  Brumadinho Municipality, that has been heavily affected by the dam collapse on 25 January 2019. Approximately 17,240 persons have been displaced and a state of emergency has been issued for 145 municipalities across Minas Gerais. (ECHO, 12 Jan 2022)The number of fatalities has reached 28 people after the widespread floods and landslides in southern Brazil (particularly in Sao Paulo State). According to media reports, seven people are missing following the deadly landslide in Franco de Rocha (40 km north of Sao Paulo City), 12 people have been injured, and nearly 3,000 have been displaced. (ECHO, 03 Feb 2022)On 28 February, the Brazil National Civil Defense (DCN per its acronym in Portuguese) reported 231 deaths due to heavy rains and ongoing landslides in Petrópolis, Rio de Janeiro. In total, 876 people have been displaced and temporarily housed in 14 shelters, 24 people were rescued alive, and 5 people remain missing. According to a media report, the Federal Government of Brazil has authorized a credit of $479.8 million BRL to bolster civil protection and defense actions carried out by the Ministry of Regional Development (MDR) bringing the total budget of resources available to deal with the occurrence of natural disasters to $2.15 billion BRL. Resources will be allocated to municipalities and states that have requested aid from the MDR. The report is available at DCN and Diário News. (PAHO, 28 Feb 2022)Six people died following floods and landslides that occurred in the Petrópolis City area (Rio de Janeiro State, southeast Brazil). According to the National Civil Defense of Brazil, two people are still missing, and almost 900 have been evacuated in 24 shelters. For the next 24 hours, drier cionditions are expected over the affected area.  (ECHO, 23 Mar 2022)Several landslides and floods caused by heavy rainfall on 1-4 April were reported across Rio de Janeiro State, leading to casualties. According to the Brazilian National Defence authorities, at least 18 people died (of which 10 in Angra dos Reis Municipality, six in Paraty Municipality, one in Mesquita Municipality, and another one in Cachoeiras de Macacu), and six others are missing (five in Angra dos Reis, and one in Praty). There are at least 2,050 people who have been displaced to evacuation centres or to other family members' houses. The hardest-hit area by a landslide is Angra dos Reis Municipality, where at least 30,000 people have been affected. On 5-6 April, light rainfall is forecast over Rio de Janeiro State. (ECHO, 5 Apr 2022)",https://reliefweb.int/disaster/fl-2021-000204-bra
Republic of Congo: Floods ,Nov,2021,Past Disaster,Flood,Congo,"In the northern part of the Republic of Congo, heavy rainfall has been observed since September 2021, when the rainy season had just begun. According to the Government's satellite data, the rains of 29 November 2021 caused a significant rise of the water level of the river by 2.4m above the riverbed and led to the total or partial flooding of several villages, neighbourhoods and districts. The departments most affected were Likouala (Bétou, Epéna and Dongou districts), Sangha, Cuvette and Plateaux. In addition to these affected localities in the countryside, several neighbourhoods in the cities of Pointe-Noire and Brazzaville were affected, where several thousand people were forced to leave their homes and lost their livelihoods. In response to this disaster, the Congolese government declared a state of emergency by letter No. 210844/PM/CAB of 29 November 2021. (IFRC, 11 Dec 2021)Heavy rain has been affecting most of the Republic of the Congo (also named Congo-Brazzaville) since September, causing rivers overflow and triggering floods that have resulted in casualties and widespread damage. The worst affected Departments include Likouala, Sangha, Cuvette, and Plateaux in the central-north as well as Kouilou and the capital Brazzaville in the south. Media report, as of 16 December, 15 fatalities, nine people still missing, more than 6,550 displaced people and a total of over 46,650 affected people across the aforementioned Departments. In addition, thousands of houses were reported damaged. (ECHO, 16 Dec 2021)",https://reliefweb.int/disaster/ff-2021-000198-cog
