disaster,month,year,status,disaster_type,affected_country,description,reference
Honduras: Floods ,Oct,2017,Past Disaster,Flood,Honduras,"A cold weather system in late October 2017 has brought heavy rainfall to Honduras, causing rivers and gorges to flood. As of 29 October 2017, a red alert was in effect for the departments Gracias a Dios, Yoro, Islas de la Bahía, Cortés, Atlántida and Colón. A yellow alert was in place for departments Olancho, Santa Bárbara and Francisco Morazán and a green alert for the departments of Copán, Comayagua, La Paz, Valle, Choluteca, Lempira, Ocotepeque, Intibucá and El Paraíso.According to official data provided by COPECO, the country's disaster management agency, the flooding has affected 9,515 families, including necessitating the evacuation of 8,872 families, or 26,701 people. The affected families are in urgent need of food, shelter, first aid, psychosocial support, water and sanitation support, and livelihood restoration. (IFRC, 8 Nov 2017)After a month of the emergency there are still unmet needs among the affected population. ACT Honduras Forum through its local member Mennonite Social Action Commission (CASM) by it´ Spanish acronym, are responding to this crisis by providing Food security. 700 households will be benefited by this intervention. The ACT Secretariat have approved the use of 35,257.00 USD towards the budget from its Rapid Response, to provide humanitarian relief. (ACT Alliance, 30 Nov 2017)On 18 December,ACT Alliance launched the Floods HND171 Appealrequiring US$ 109,875.04",https://reliefweb.int/disaster/fl-2017-000160-hnd
Tropical Storm Nate ,Oct,2017,Past Disaster,Flood2 more,Nicaragua8 more,"On 4 October 2017, according to the National Hurricane Center, life-threatening flash floods and mudslides are possible over portions of Central America from the Tropical Depression 16. Forecasts indicate the depression should be nearing the coast of Nicaragua early Thursday, then across northeastern Nicaragua and eastern Honduras late Thursday and later emerging into the northwestern Caribbean Sea on Friday, 6 October 2017. As Tropical storm warning is in effect for Sandy Bay Sirpi Nicaragua to Punta Castilla in Honduras. Other possible areas to monitor are the Bay Islands in Honduras, western Cuba, and the Yucatan Peninsula. (IFRC, 4 Oct 2017)As of October 6th, the number of casualties rose to 28 and with 14 people reportedly missing. National Civil Protection systems were triggered and are responding with local coordination mechanisms. Tropical storm Nate will continue its trajectory towards the north-eastern coast of the Yucatan peninsula on the evening of October 6th as it makes its way to the US Gulf Coast, where it is projected to make landfall as a hurricane. According to data provided by the National Civil Protection Systems, the damage reported is as follow:Nicaragua: 11 deaths; Government has provided food supplies for more than 1,600 affected households; 11 departments/31 municipalities affected; More than 30,000 people affected. 5,953 damaged houses.Guatemala: 5 deaths, 3 missing; 2,749 people affected; 413 people rendered homeless.Costa Rica: 8 deaths, 11 missing; 3,921 people evacuated to 94 shelters; 419,868 people without water.Honduras: 3 deaths; 16 provinces on yellow alert; 143 affected people.Panama: 1 death; 150 affected homes; 750 people affected.InCosta Rica, landslides caused significant damage to roads and villages, cutting off some areas. A highway that connects the south of the country was washed away in Casa Mata. At least 5,000 residents fled to emergency shelters there, according to The Associated Press. The Costa Rican government declared a state of emergency, and President Luis Guillermo Solís appealed to the international community for support.Given the level of damages so far, the Costa Rica Forum through its local member ILCO (Lutheran Church in Costa Rica) is planning on submitting a funding proposal to provide Food aid, non-Food Items, WASH, Psychosocial Support. the Nicaragua Forum is assessing the situation in order to decide if they are going to respond.(ACT Alliance, 9 Oct 2017)On 12 October, the IFRC issued an Emergency Appeal for 1,523,001 Swiss francs and allocated 316,177 Swiss francs from the Disaster Relief Emergency Fund (DREF) to support the Costa Rica Red Cross to assist 24,000 people for six months. (IFRC, 12 Oct 2017)As of 14 October, 874 isolated people were reported, 12 communities without access, 7 sheltered established, 87 sheltered communities, 40 communities without water, 1 community without electricity, 2,160 of food kits distributed, and 900 food kits and 8,760 liters of water in stock.According to data from the Acosta Municipal Emergency Commission, the storm most severely affected the canton of Acosta, which suffered flooding, the destruction of public roads, bridge collapses and landslides in the highlands; additionally, the storm destroyed houses and damaged to the Costa Rican Institute of Aqueducts and Sewers and Rural Aqueducts (ASADAS)’s distribution system; three aqueducts are still out of service.On 23 October, CNE’s Emergency Operations Centre (EOC) of declared a yellow alert for the zones of Valle Central, Pacifica Central, Pacifico Sur and Pacifico Norte due to increased rainfall along the Pacific Rim; furthermore, the heavy rainfall is expected to continue in the coming weeks, leading the CRRC to place the branches in the Pacific Rim area under alert and pre-position relief items in this zone. To date, 15 people have been evacuated in Upala canton. (IFRC, 3 Nov 2017)On 3 November, ACT alliance launchedappeal for Costa Rica, targeting 164,546.04 USD to contribute to the recovery of households affected by Tropical Storm, through emergency relief assistance.According to the Costa Rican Institute of Aqueducts and Sewers (AyA), aqueduct infrastructure was the most affected. The AyA and the Aqueduct and Sewerage Association (ASADAS) have temporarily restored service to more than 482,000 people in different parts of the country, and they continue working on rehabilitating other aqueducts. To date, 22 AyA systems that serve 63,000 people and 160 ASADAS systems that serve 147,000 people remain out of operation. Many ASADAS lost part of or their entire systems. (IFRC, 15 Dec 2017)As of 12 January 2018, 14 deaths, 642 affected communities and 3,000 people evacuated was part of what left Tropical Storm Nate...The National Commission for Emergencies, with resources financed by Costa Ricans through The National Emergency Fund, has allocated a total of ₡ [Costa Rican Colón] 3,601,856,674.00 (three thousand six hundred one million eight hundred and fifty-six thousand six hundred and seventy four) in first-class actions response, rehabilitation and execution of projects by extreme urgency, which have served for the economic reactivation of the communities. (Gov't of Costa Rica, 12 Jan 2018)In Nicaragua,The Nicaraguan Red Cross has had difficulties in procuring water and sanitation items, including cleaning and disinfecting kits for water wells, delaying the start of the activities outlined in the Water and Sanitation component of this Emergency Plan of Action. The IFRC logistics unit in Panama is supporting the procurement of these items. Additionally, heavy rains continue to affect the regions delaying further activities. An additional month is needed to complete the procurement of items and provide potable water to the targeted families. (IFRC, 5 Dec 2017)On 16 Feb 2018, Sinapred authorities reported that these foods will reach the homes of some 5,800 families affected by the Nate storm and low atmospheric pressures in October 2017. (Gov't of Nicaragua, 16 Feb 2018)",https://reliefweb.int/disaster/tc-2017-000148-nic
Togo: Floods ,Sep,2017,Past Disaster,Flood,Togo,"As at 28 September, a total of 602 households or 3,612 people have been affected by the overflow of the Nangbéto dam. Among the villages bordering the Mono river 10 villages (Agbanakin, Atchamé, Togbavi, Togbagan, Azimé-Dossou, Adamé, Gbandi, Gbandidi, Agbetiko and Handivi) have been flooded directly affecting more than 213 households (1,278 people). Another 389 households (2,334 people) in Agbanakin, have been marooned in their village. (IFRC, 09 Oct 2017)",https://reliefweb.int/disaster/fl-2017-000149-tgo
South Sudan: Floods ,Sep,2017,Past Disaster,Flood,South Sudan,"According to the State Ministry of Health, it is estimated that over 11, 000 people have been affected by flooding caused by heavy rainfall in 11 payams of Aweil North and Aweil West of former Northern Bahr el Ghazal State. More flooding also caused some deaths and injuries and has deeply affected the daily lives of over 650 households in eight villages of Bunj payam, Maban County, Upper Nile State. (WHO, 18 Sep 2017)Heavy rains and floods have affected several parts of South Sudan, including Aweil North, Aweil East, Raja, and Maban counties; and parts of Eastern and western Equatoria. Thousands of people have been displaced while several roads have been washed away, making transport difficult. In addition, farmlands have been destroyed, which is likely to impact on the expected harvest, worsening the food security situation next year. (WHO, 28 Sep 2017)In September, Northern Bahr el Ghazal and Jonglei states experienced flooding as a result of heavy rains. UNICEF together with partners responded to over 20,000 households affected by the flooding in Northern Bahr el Ghazal with provision of supplies, including household water treatment products and water containers. However, the WASH sector continues to face a significant funding gap (54 per cent). (UNICEF, 30 Sep 2017)Torrential rain has caused major damage across the region with the combination of a stream bursting its banks and the overflow from the Kengen, Lothila and Kubal rivers causing massive floods across Pibor.
More than 2000 households are now in need of urgent assistance. The situation remains particularly volatile for eight counties located along the river. Latilak, Babuzen, Vertek, Likuangole, Pochalla, Ajwara, Pibor North and South Counties have seen their farms wiped out and children are unable to get to school...If water continues to rise, access to the area via the Pibor airstrip could be affected. The state legislative assembly has been damaged and many government officials have been cut off from their offices. The acting Governor of Boma, Omot Ogul Abai, is appealing for urgent assistance. (UNMISS, 13  Oct 2017)",https://reliefweb.int/disaster/fl-2017-000137-ssd
Rwanda: Severe Local Storms ,Sep,2017,Past Disaster,Flood1 more,Rwanda,"On 17 September 2017, at around 15:30 local time, the districts of Rusizi, Nyamasheke, Huye and Bugesera, Gicumbi, Ngoma, Kirehe, Rubavu and Nyabihu experienced heavy rainfall associated with heavy storms, which resulted in destruction of houses and community farm lands. The affected areas are mostly in five districts; two located in western province (Rusizi and Nyamasheke), two located in Eastern province (Ngoma and Bugesera), and one in the Southern Province (Huye). According to data from a rapid assessment conducted by Rwanda Red Cross staff and volunteers, it is estimated that 5,850 people from 1,170 households have been affected by heavy winds and out of them 640 families are now homeless and classified as most vulnerable. The disaster caused three deaths and 24 people were injured. (IFRC, 3 Oct 2017)",https://reliefweb.int/disaster/st-2017-000143-rwa
Ethiopia: Floods ,Aug,2017,Past Disaster,Flash Flood1 more,Ethiopia,"Floods affected more than 53,000 people in Gambella and Oromia regions during the months of August and September. The Emergency Shelter/Non-Food Items (NFI) cluster reports a gap in NFIs to respond to the emergency. More than 300,000 people are at risk of flooding in the next few weeks as heavy rains are expected to continue. (UNICEF, 20 Sep 2017)Flash floods following heavy rains since 28 August have displaced more than 13,400 people in four districts of Gambella region. The National Flood Task Force has prepared a response plan for at least 100,000 people risking displacement by flash floods along the Awash river basin this month. (OCHA, 22 Sep 2017)Flood task force – The cluster remains very engaged in the Flood Task Force to monitor the needs induced by the 2017 kiremt season and plan a response accordingly. (Shelter cluster, 31 Aug 2017)In Ethiopia, rainfall attributed to the Kiremt rains, which began on 8 September 2017 has led to extensive flooding. The Ambeira zone in Afar region, and special zones surrounding Addis Ababa (the capital), Jima, South-east Shewa, and South-west Shewa in the Oromia region have been worst affected by the rains and flooding. It is estimated that a total of 18,628 households (HHs) (93,140 people) have been affected from their homes, of which 7,270 HHs (36,350 people) have been displaced. (IFRC, 22 Sep 2017)",https://reliefweb.int/disaster/fl-2017-000139-eth
Central African Republic: Floods ,Aug,2017,Past Disaster,Flood,CAR,"The city of Kouango, located 415 km from Bangui (the capital of the CAR), has been flooded since the 23rd of August. These floods caused significant material and human damages. The provisional record shows 350 households, or 1,750 people affected by this tragedy. At least 276 houses are completely destroyed and 74 houses partially destroyed. Some people found shelters in host families and others are in the farm fields. (IFRC, 16 Sep 2017)12 of 13 regions and 30,862 people in Burkina Faso have been impacted by flooding and violent winds, according to the national disaster management agency SP/CONASUR. Severely affected provinces included Gnagna (7,527 people affected) Gourma (4,508), Bam (3,896) and Namentenga (3,401). As of 16 October, 12 fatalities were reported, as well as substantial material damage including the loss of 214 tons of food and destruction of 5,256 houses. Affected people, in particularly the displaced, have received emergency assistance in the form of food and non-food supplies through local structures of SP/CONASUR. (OCHA, 18 Oct 2017)",https://reliefweb.int/disaster/fl-2017-000134-caf
Sierra Leone: Mudslides ,Aug,2017,Past Disaster,Flood1 more,Sierra Leone,"Three days of heavy rains triggered flash floods and a massive landslide in and around the capital Freetown on 14 August. The most severe disaster occurred in Regent and Lumley districts with a massive 6 kilometres mudslide submerging and wiping out over 300 houses along the banks of the Juba river. Flash floods also affected at least four other communities in other parts of Freetown.(OCHA, 15 Aug 2017)The IFRC has...released more than [CHF]270,000...from its Disaster Relief Emergency Fund (DREF) to bolster initial search and rescue and recovery efforts. These emergency funds will enable volunteers to assist more than 9,000 people with search and rescue, first aid, health care, water, sanitation and hygiene promotion and emergency food. (IFRC, 15 Aug 2017)On 17 August, the IFRC launched anEmergency Appealfor [CHF]4,637,689...to assist 4,800 people for 10 months. (IFRC, 17 Aug 2017)At least 500 bodies have been recovered. However, several hundreds are still missing, An estimated 5,900 or more people are believed to have lost their homes or have been directly impacted and are in immediate need of emergency assistance and shelter. Nine response pillars are coordinating their response efforts with the Office of National Security who has the overall lead. Humanitarian partners are providing emergency WASH, health, shelter and protection assistance to those in temporary holding centres and those in host families. (OCHA/UNORC, 22 Aug 2017)On the night between...26 [and] 27 August, new flooding appeared in downtown Freetown, and has flooded a health centre, the bridge and a school at Kroo Bay. One person is reported dead and two injured. The WHO team has assessed the damage to Kroo Bay Health Facility where flooding waters destroyed health records, drugs and supplies, mosquito net stock piles and medical equipment. (OCHA/UNORC, 29 Aug 2017)As of 31 August, the total number of confirmed deaths is slightly above 500 and the number of missing persons at 810. With 616 households (93 percent) verified, the results show that a total of 5,951 people reported being affected by the mudslide and floods, of which 969 are children under the age of five and 393 are pregnant and nursing women. (UNDAC/UNORC, 31 Aug 2017)As of 5 September, the distributions of food and non-food items have reached over 85% of flood and landslide affected people. (UNDAC/UNORC, 5 Sep 2017)Following emergency response to the landslide and floods in and around Freetown on 14 August 2017, the UN system in Sierra Leone is now supporting national recovery. The UN Country Team has designated UNDP and the World Bank as co-leads of the effort. The Ministry of Finance and Economic Development has underscored that a national recovery strategy should address both the needs of those directly affected, and a plan to tackle the longer-term issues including environmental; climate and disaster risks; and settlement and urban development. (UNDP/UNORC, 12 Sep 2017)Sierra Leone’s first ever Oral Cholera Vaccination (OCV) campaign kicked off on 15 September. The emergency campaign targets communities affected by Western Area’s recent floods and landslides. WHO, UNICEF, Gavi, UKaid, MSF and other health partners are working with the Ministry of Health and Sanitation to implement the campaign, which aims to reach a total of 500,000 people.  (Gov't of Sierra Leone/UNICEF/WHO, 15 Sep 2017)As of 10 October, the UN system in Sierra Leone continues to support national recovery. In addition to addressing the urgent needs of those most affected, medium and long-term assessments and action plans have been put in place under national leadership to ensure risk mitigation and protect the people of Sierra Leone from future tragedy. (UNDP/UNORC, 10 Oct 2017)",https://reliefweb.int/disaster/ms-2017-000109-sle
Nigeria: Floods ,Aug,2017,Past Disaster,Flood,Nigeria,"Flooding in various localities in the north-east region has cut off roads and made helicopter landings
impossible. Aid convoys by road to Rann, a remote location in Borno sate which hosts some 43,000
displaced people, has become extremely difficult. Some 800 metric tons of food, nutrition, health, WASH and shelter supplies are awaiting delivery. The logistics sector and WFP are exploring the possibilities of bringing in relief from Cameroon (OCHA, 11 Aug 2017)The rainy season has greatly reduced access to places that are in severe need of immediate sector interventions. LGAs like Gwoza, Ngala, kaga balge, Dikwa, Damboa, and Bama among other locations have IDPS and returnees living in deteriorated shelter conditions, while emergency shelter interventions have been delayed due to lack of response capacities, security, access, land availability and logistics needed to set up appropriate sites (IOM, UNHCR, CCCM Cluster, Shelter Cluster, 21 Aug 2017)As the rainy season approaches in Nigeria, floods are expected to affect many sites situated in flood-vulnerable locations in Borno state. The flood vulnerability mapping indicates that about 59 camps could be exposed to flooding hazards, as they are located along or close to water flow accumulation areas. Paired with the continuous influx of IDPs to existing sites and to Local Government Areas, overstretching capacities on the ground, and the level of congestion in IDP sites, this will increase health and sanitation concerns. In addition to the risk associated with access and sanitation, the preparation to the rainy season requires urgent interventions in terms of NFI and retrofitting of unsafe shelter units, through the provision of emergency shelter materials to reinforce the structures against strong winds and rains (IOM, UNHCR, CCCM Cluster, Shelter Cluster, 5 Sep 2017)On 4 September, heavy rains have led to flash floods, discharges and river overflowing in Benue State, centre-east Nigeria. Almost 250,000 people are reportedly affected in 21 Local Government Areas. Hundreds of houses have been destroyed and crop fields damaged. The State Government and the National Emergency Management Agency (NEMA) are setting up two camps in Makurdi, for people who have lost their homes. The Nigerian Red Cross is providing immediate response in terms of food and non-food items. NEMA has requested technical assistance from the international community.
UNICEF has carried out a quick assessment and is increasing access to drinking water in the two camps. These floods are considered the most severe since 2012. (OCHA, 6 Sep 2017)Weeks of torrential rainfall led to flash floods, discharges and river overflowing in Benue State, north-central Nigeria, affecting more than 100,000 people across 21 local government areas in the state. The Nigerian Red Cross provided immediate response of food and non-food items. A displacement site which was set up by the State Government and the National Emergency Management Agency (NEMA) was closed on 9 October and flood victims provided with transport fare to return home.  (OCHA, 18 Oct  2017)",https://reliefweb.int/disaster/fl-2017-000126-nga
Ghana: Floods ,Jul,2017,Past Disaster,Flood,Ghana,"Since April 2017, Ghana has experienced a sharp alteration in its weather that has recently resulted in widespread flooding currently reported in over five regions of which four are heavily affected. The floods have caused devastating impact to people's health, safety and destruction to properties and livelihood. The reported flooding across the country is likely to cause devastation that communities and government is unable to cope and or even recover from it as farmers are losing their investments in production, communities are helplessly being displaced and infrastructure such as roads and buildings are collapsing. According to the Ghana Meteorological Agency the country will experience torrential rains' year at least until September 2017.On 10 July 2017, Greater Accra, Central Region, Western Region and Eastern Region were declared as flood emergencies and/or under threat of floods with potential to cause devastation. There is an urgent need to conduct an in-depth assessment to have a better overview of the situation.  (IFRC, 21 Jul 2017)",https://reliefweb.int/disaster/fl-2017-000095-gha
