disaster,month,year,status,disaster_type,affected_country,description,reference
Afghanistan: Floods ,Jul,2023,Past Disaster,Flash Flood1 more,Afghanistan,"Heavy rainfall has been affecting central and eastern Afghanistan, in particular the Maidan Wardak Province, the Khost Province and the Kabul area, since 22 July, causing flash floods that have resulted in casualties and damage. As of 24 July, 31 fatalities, 41 persons still missing and 74 injured people are reported across Jalrez, Saydabad, Chaki Wardak and Maidan Shahr Districts, Maidan Wardak Province. Around 600 houses were reported damaged or destroyed across the same Province. In addition, media also reports four fatalities in the Kabul Capital City area and one more in the Khost Province, also in these cases due to flash floods. (ECHO, 24 Jul 2023)As of 30 July 2023, according to reports from various sources including the Afghan Red Crescent Society (ARCS) and the Afghan National Disaster Management Authority (ANDMA), flash floods have led to the loss of 61 lives, left 24 people injured and six people missing. The province of Maidan Wardak is the most impacted and accounts for 37 of the 61 human lives lost. Based on the preliminary findings of the initial rapid assessment carried out by the
ARCS, approximately 126,000 people have been affected by the disaster in 18 provinces. The flash floods have also partially or completely damaged 1,360 residential houses and washed away over 13,023 hectares of agricultural land and killed at least 1,128 livestock. [...] Some of the provinces such as Badakhshan, Maidain Wardak and Nangahar have experienced such floods for the first time while others have experienced more severe floods this year than the ones in the past. The country is particularly vulnerable to variations in access to arable land and water due to drought that have been affecting the country for the last three consecutive years. New areas are experiencing floods due to dryness of land caused by drought for three consecutive years. (IFRC, 7 Aug 2023)Between 1 and 30 July, heavy rains intensified and flash flooding affected some 6,193 people across eight provinces of Afghanistan – 1,071 people in Kabul; 1,345 people in Kunar; 130 people in Laghman, 1,617 people in Maidan Wardak; 755 people in Nangarhar, 574 people in Nuristan; 581 people in Parwan; and 120 people in Zabul. Some 40 people were reportedly killed and 30 others were injured, while some 551 houses were damaged, and 121 others were destroyed. OCHA and humanitarian partners are conducting assessments alongside providing lifesaving assistance to the affected families. The number of people affected is anticipated to increase based on forecasts of more heavy rains and flooding in August, according to the Afghanistan meteorological department. (OCHA, 9 Aug 2023)Of all the natural disasters that have occurred in Afghanistan this year, flash flooding and heavy rains caused the most havoc as of the end of August, followed by earthquakes and heavy snowfall during the 2022/2023 winter. In total, around 21,500 people (2,952 families) affected by flooding, with 51 people killed, a further 62 injured, and 553 houses destroyed, and significant damage caused to 1,950 homes in 23 provinces across the country. Floods and heavy rains have also reportedly destroyed more than 3,000 acres of agricultural land, 50 irrigation canals, and 20 Kms of road, forests and farm infrastructure. The damage was most extensive in the north-eastern, central, and southern regions where 8,640, 5,830, and 1,193 people respectively were affected. Communities living in the southeastern (917 people), western (490 people) and northeastern (360 people) areas were also impacted by the heavy rains. (OCHA, 9 Nov 2023)",https://reliefweb.int/disaster/ff-2023-000133-afg
Cameroon: Floods ,Jul,2023,Past Disaster,Flood,Cameroon,"Located in the South-West Region of Cameroon, the city of Limbe was drenched by continuous heavy rains from 18 to 19 July 2023 that resulted in flooding (in the DOWN BEACH and CHURCH STREET neighborhoods) and landslides (MAWOH neighborhood). The flooding was largely due to run-off water and unplanned construction, which prevent water from circulating normally. The neighborhoods worst affected are CHURCH STREET (700 people), MAWOH (400 people) and DOWN BEACH (500 people), making a total of about 1,600 people directly affected by the flooding ... Other damage included the destruction of goods in shops, and more seriously, the suspected disappearance of an adult, 05 people injured and 02 dead. (IFRC, 8 Aug 2023)Heavy rains in Yaounde in the night of 8 to 9 October have caused death to 30 people and injured 17 in Mbankolo, an outskirt of Yaounde, the capital city. An estimate of thirty homes are reported destroyed. Rescue operations are ongoing to find survivors and recover the bodies of the victims. Mbankolo is an area exposed to landslides. This incident in Yaounde is a reminder of the importance of disaster preparedness and rapid response to emergencies. For the next 24 hours, more rainfall is expected across over the central and southern part of the country. (ECHO, 10 Oct 2023)On the night of Sunday 08 October 2023, torrential rain caused a landslide in the Mbankolo neighborhood in the Yaoundé II district council following the collapse of the embankment of an artificial lake uphill. Searches are continuing and the impact of the disaster has not yet been fully assessed. The Red Cross volunteers who were quickly deployed to the scene gave a provisional toll of more than 700 people affected, i.e., almost 110 households. The landslide swept away around 27 homes that were completely destroyed, around 30 that were partially destroyed, 27 corpses were found and around 35 people were injured or missing. (IFRC, 23 Oct 2023)",https://reliefweb.int/disaster/fl-2023-000135-cmr
Niger: Floods ,Jul,2023,Past Disaster,Flood,Niger,"As recorded on 10 July, nationwide floods have impacted 5,680 individuals, predominantly in the regions of Maradi, Tahoua, and Tillabéri. The severe weather has resulted in seven fatalities, the collapse of 664 houses, and the loss of 590 livestock. The Hydrology Department forecasts more heavy rainfall and potential river overflows, noting that the Niger River's level is significantly higher than in previous years. In response, the government has mobilized 4,240 tons of cereals and is currently executing a three-year National Flood Contingency Plan (2023-2025), activating national and regional committees to manage this crisis. Additional partner capacities will be communicated soon. (OCHA, 19 Jul 2023Since the beginning of the 2023 rainy season in Niger in June, heavy rains and floods have been recorded across the country, with above-average rainfall recorded since May. As at 25 August, the floods had caused 32 fatalities (9 from the collapse of their houses and 23 from drowning) and over 30 injuries. By 21 August, the General Directorate of Civil Protection had registered approximately 88,000 affected people across over 10,000 households (BBC accessed 25/08/2023; IFRC 20/08/2023; The Independent Ghana 25/08/2023; ANP 21/08/2023). According to the Ministry of Humanitarian Action and Disaster Management, the floods in Maradi, Tahoua, Tillabéri, and Zinder regions have affected over 50,000 individuals since mid-July (UNICEF 22/08/2023). The regions with the highest number of fatalities are Tahoua (12), Maradi (10), and Zinder (6). The General Directorate of Civil Protection has also reported the loss of 3,169 cattle, the collapse of 7,864 houses, and the loss of 3.55 tonnes of food along with the destruction of health centres, shops, and other infrastructure (BBC accessed 25/08/2023; The Independent Ghana 25/08/2023). (ACAPS, 30 Aug 2023)According to OCHA, in the week of 10th of September around 50,000 people were affected. This situation evolved in October where according to the General Directorate of Civil Protection as of October 09, 2023, 20,126 households have been registered at the national level (about 169,598 people affected of which 62% were in Maradi). Out of the number of people affected, 52 deaths were recorded. During the coordination meeting of humanitarian organizations led by the Ministry of Humanitarian Action on October 24, 2023, an update on the impacts of the floods was made. It was reported that an additional 6,000 people had been affected from 09 to 24 October 2023 (OCHA, October 2023). The Ministry therefore requested the support of all key partners, including the CRN, in order to assist these populations affected by the floods. (IFRC, 13 Nov 2023)",https://reliefweb.int/disaster/fl-2023-000160-ner
Mongolia: Floods ,Jul,2023,Past Disaster,Flash Flood1 more,Mongolia,"Flooding triggered by heavy rains since the beginning of the week and damage to a dam at the Selbe River have resulted in hundreds of people being displaced and damage to infrastructure in Mongolia's capital, Ulaanbaatar. According to media reports, over 100 residential buildings and hundreds of traditional yurts and vehicles have been flooded in the city. Additionally, 702 infrastructure facilities, such as roads, bridges, dams, and power transmission lines, have been damaged. The water levels of major rivers in and around the city have been flowing above the warning levels. The government declared a ""high alert"" in Ulaanbaatar on Wednesday 5 July, as more rain is forecast until the end of the week. (ECHO, 7 Jul 2023)Heavy rain continues to affect Mongolia since 3 July 2023. The situation was exacerbated by the collapse of the Selbe River Dam, increasing the flooding in Ulaanbaatar. According to IFRC, 128,000 people from 31,600 households have been affected, while media reports indicate that more than 20,000 people are now in safe shelters. The government declared a ‘high alert’ in Ulaanbaatar on 5 July as rains are forecasted to continue until 15 July 2023. In addition, media quoted the government experts that it is heaviest in the last 50 years. (ECHO, 14 Jul 2023)After the floods which impacted the capital in the first week of July affecting a total of 128 thousand households, on 5 August, new flash floods affected the district of Bayanzurkh, causing a total of four causalities, damages to 246 buildings and impacting a total of 325 households, and the displacement of 100 people. The Ministry of Labour and Social Protection is leading the response at the request of the State Emergency Commission. The UN and international partners are supporting the response to the most affected households. (OCHA, 9 Aug 2023)",https://reliefweb.int/disaster/fl-2023-000111-mng
Chile: Floods ,Jun,2023,Past Disaster,Flood,Chile,"Since 21 June, central and southern Chile have experienced the heaviest rainfall recorded in the last 30 years. On 23 June, the impact intensified as communities faced flooding caused by swollen rivers, resulting in more than 21,673 people affected, 6,575 people isolated and 1,651 people sheltered, primarily in rural areas. On 24 June, the government declared a state of catastrophe spanning from the Valparaíso Region to the Biobío Region, approximately 450 kilometers south of Santiago. In terms of infrastructure, SENAPRED reported 1,623 houses destroyed, 3,059 with significant damage, 4,069 with minor damage, and 6,424 houses currently under damage assessment. Additionally, 79 temporary shelters are currently active with 1,651 people sheltered. (IFRC, 6 Jul 2023)Heavy rainfall has been affecting central-southern Chile, in particular the Araucanía Region, over the last 48 hours, causing a landslide that has resulted in casualties and damage. The WHO PAHO and media report, as of 20 September, three fatalities, one person still missing, a total of approximately 11,000 isolated people, and many other affected people, and two destroyed houses in the Curarrehue Municipality (Cautín Province, southern Araucanía Region). (ECHO, 20 Sep 2023)",https://reliefweb.int/disaster/fl-2023-000110-chl
India: Floods and Landslides ,Jun,2023,Past Disaster,Flash Flood2 more,India,"InAssam,34,189 persons in 11 districts were adversely affected by the first wave of flash floods. The Lakhimpur district is the worst impacted. As of 16 June, 11 relief camps opened in three affected districts. Landslides triggered by the torrential rains have further worsened the situation, causing certain regions such as Lachung and Lachen to become completely cut off from the rest of the state. (ECHO, 17 Jun 2023)Monsoon rainfall and consequent floods, landslides and severe weather-related incidents continue to hit several parts of India (particularly the northern States), resulting in an increasing number of casualties. 9,572 people have been evacuated and 101,764 affected. In addition, 460 buildings have been partially or fully damaged across 51 districts of nine states. Over 125 deaths have been reported due to weather-related events in north Indian states in the current phase of flooding reported since 06 July. (ECHO, 12 Jul 2023)Delhihas seen unprecedented flooding in its Northeast, East, and North districts due to the continuous rise in the Yamuna River since 12 July, which has flowed above the highest flood level. 25% of the city’s water supply is impacted due to the closure of three major water treatment plants. About 23,600 people have been relocated to safer locations in Delhi. (ECHO, 14 Jul 2023)Rivers spilling above the danger mark have caused considerable infrastructure and property damage inHimachal Pradesh, Uttarakhand, Punjab, Haryana and Delhi,which have been the worst hit states. Over 208 people have lost their lives, 621 houses are completely damaged and over 4,200 houses were partially damaged with damage centered in Himachal. Assam recorded 111,258 people affected by floods in 17 districts with one human life lost. (ECHO, 18 Jul 2023)Between 18-19 July only, the National Emergency Response Centre (NDMI) reported four fatalities and more than 5,000 evacuated people and 589 damaged houses across 13 States. (ECHO, 20 Jul 2023) A massive landslide triggered by three days of heavy rainfall occurred on 19 July in Irshalwadi Village (Raigad District, westernMaharashtraState, central-eastern India) causing casualties and damage. National authorities and media report, as of 21 July, 16 fatalities, dozens of missing people and almost 100 rescued people, between 80 to 100 people remain trapped under the debris of the landslide. In addition, more than 40 homes in the Irshalwadi tribal village are buried by the debris. (ECHO, 21 Jul 2023)In the past three days, the number of casualties increased following the heavy rainfall that has been affecting the central part of India, in particularTelangana. According to the National Emergency Response Centre (NDMI) and media, as of 30 July, 23 people died due to flooding in Mulugu District, western Telangana, of whom eight in Kondai Village, which was completely inundated, the other in the Malyala and Dodla Villages. The Mulungu District received the heaviest 24-hour rainfall recorded in India during this monsoon season with 616.5 mm on 27 July. In the past 24 hours 2 fatalities were registered in Gujarat and one in Rajasthan due to severe weather related incident. (ECHO, 31 Jul 2023)Monsoon rainfall, in combination with the remnants of tropical storm FOUR, has been affecting several States of India, particularly theOdisha and ChhattisgarhStates. According to the National Disaster Management Authority of India (NDMIndia), in the past 24 hours, 24 people have died, 175,632 people have been affected, and 13,645 evacuated. (ECHO, 4 Aug 2023)According to the National Emergency Response Centre (NDMI), between 9-10 August, 42 fatalities were reported, including 25 in Chhattisgarh, six in Uttarakhand, four in Himachal Pradesh, three in Uttar Pradesh, two in Madhya Pradesh, one in Kerala and one in Gujarat. 235 people have been evacuated and 556 houses have been damaged. (ECHO, 11 Aug 2023)60 fatalities have been reported in the last three days, according toHimachalstate authorities as of 15 August, with the worst affected Districts being Mandi, Solan and the Capital City Shimla. Media also report 20 persons still missing throughout Himachal Pradesh. In addition, 139 houses have been fully damaged and 639 houses partially damaged since 12 August in Himachal. More than 800 roads including National Highways have been shut down across the state with a significant impact on over 2,000 bus routes. (ECHO, 16 Aug 2023)On 23 August, a landslide inHimachal Pradeshresulted in over 10 deaths, stranding 82 and damaging 121 houses. In Kullu district, multiple buildings collapsed. Over the past month, floods and landslides in Himachal destroyed over 2,000 houses, damaged over 10,000 houses, and directly impacted 500,000 people, with 3 million affected indirectly. (ECHO, 24 Aug 2023)The impact of the recent rains has been particularly severe in the Kedarnath valley inUttarakhandand the Kullu Manali districts ofHimachal Pradesh. These areas were among the hardest hit by the earlier monsoon, and the recent rains have only worsened the situation, with widespread flooding and multiple landslides. In Himachal Pradesh, over 227 people have lost their lives, with 38 still missing, while in Uttarakhand, more than 50 people have died, and 13 are still missing. The rains have also destroyed bridges, roads, houses, and crops in various districts, including Bilaspur, Mandi, Solan, Una, Shimla, Hamirpur, Kangra, Bageshwar, Garhwal, Kashipur, and Chamoli. (IFRC, 1 Sep 2023)Heavy rainfall, thunderstorms and lightning have been affecting eastern India, in particular theOdishaState, since 2 September. Media report, as of 6 September, 12 fatalities and 14 injured people across eight districts throughout the Odisha State, due to several lightning events. (ECHO, 6 Sep 2023)Heavy monsoon rains have been reported over the past week in several states of India, leading to severe floods and numerous weather-related incidents, including lightning strikes. The National Emergency Response Centre (NDMI) has reported 23 fatalities and estimates that over 45,000 people have been affected and 350 houses have been damaged acrossGujarat, Himachal Pradesh, Kerala, Madhya Pradesh, Maharashtra, Punjab and Rajasthan.In Gujarat, almost 12,000 people were temporarily evacuated. (OCHA, 19 Sep 2023)Over the last 24 hours, the National Emergency Response Centre (NDMI) reported six fatalities across four States: two each inGujarat and Maharashtraand one each inAssam and Karnataka. During the same period, NDMI also reported more than 4,500 damaged houses across ten districts throughout four states, where the worst affected is Gujarat with 735 fully damaged houses.Since April there have been a reported 2,416 fatalities, 116 missing people, 1,889 injured people, and close to 110,000 damaged houses across 362 districts throughout all states of the country.(ECHO, 29 Sep 2023)On 4 October, a flash flood have affectedSikkimState (north-eastern India), causing casualties and damage. According to the National Emergency Response Centre (NDMI), as of 5 October, 19 people died due to the sudden overflow of the Teesta River in the northeastern Sikkim. Almost 22,464 people have been affected, of whom 2,411 people have been displaced in six main Districts: Namchi, Soreng, Gangtok, Mangan, Pakyong and Geyzing. Moreover, 896 house are fully damaged, several bridges have been washed away, the Chungthang Dam and part of one main road have been impacted. Three districts of State West Bengal are also affected. Over 2,000 people sheltered in 26 relief camps and around 10,000 people have been evacuated and are being accommodated in 190 relief camps across nine districts in the southern and northern parts of the state West Bengal. (ECHO, 6 Oct 2023)Heavy rainfall has been affecting theSikkimState, a mountainous State in north-eastern India, between Nepal and Buthan, since 4 October, causing flash floods and the Teesta River overflow that have resulted in causalities and widespread damage. In addition, flash floods were also caused by aGlacial Lake Outburst Floods(GLOF) occurred in South Lhonak Lake in northern Sikkim. As per Sikkim State Disaster Management Authority, as of 11 October, 36 fatalities reported. The National Emergency Response Centre (NDMI) reports, as of 10 October, 79 persons still missing, 28 injured people, 3,845 evacuated people in 22 relief camps and a total of 87,300 affected people across four District in Sikkim. In addition, nearly 1,800 damaged houses were reported. (ECHO, 11 Oct 2023)The number of casualties and evacuated people continues to increase due to the monsoon rainfall that has been affecting several States of India, resulting in severe floods and a number of severe weather-related incidents. the National Emergency Response Centre (NDMI) reports four fatalities across two states, of which three inHimachal Pradeshand one inNagaland. (ECHO, 13 Oct 2023)Following the heavy rainfall, flash floods and the Glacial Lake Outburst Floods (GLOF) that have been affecting theSikkimState and theWest BengalState in north-eastern India along the Teesta River since 4 October, the number of casualties is increasing. According to National Emergency Response Centre (NDMI) reports, as of 15 October, the death toll has reached 100 fatalities, of whom 38 in Sikkim and 62 in West Bengal, where Namchi, Gangtok, Mangan and Pakyong are the most affected Districts. (ECHO, 16 Oct 2023)The number of casualties continued to increase following the flash flood triggered by the GLOF event that occurred at South Lhonak Lake in North Sikkim District,SikkimState, north-eastern India. After this event, there was a sudden surge in the flow of the Teesta River, which washed away several bridges, damaged parts of NH-10, Chungthang Dam and impacted several small towns in the upper reaches of the Teesta River valley. According to the National Emergency Response Centre of India (NDMI), 102 people have died, 76 are still missing, 4,418 have been evacuated and 88,400 others have been affected. In addition, a total of 2,002 houses have been damaged, out of which 1,423 are fully damaged and 579 are partially damaged. (ECHO, 18 Oct 2023)Heavy rainfall, heavy hailstorms, thunderstorms and lightning have been affecting western India, in particular theGujaratState, bordering with south-eastern Pakistan, over 26-27 November, causing several severe weather-related incidents that have resulted in casualties and damage. Media report, as of 28 November, a total of 24 fatalities, 25 injured people and significant damage to properties across the Gujarat State, mainly due to a number of lightning events. (ECHO, 28 Nov 2023)Tropical storm MICHAUNG passed over the central Andra Pradesh and the neighbouring easternTelanganaStates on 5 December and in the very early morning (UTC) of 6 December as a tropical storm and as a tropical depression. On 6 December at 3.00 UTC the remnants of MICHAUNG was located in the area of southernChhattisgarh, southernOdishaand northernAndhra PradeshStates. Its passage caused very heavy rainfall across the four aforementioned states and theTamil NaduState. Media report, as of 6 December, 16 fatalities across Tamil Nadu. In addition, a total of approximately 390,000 affected people were reported across the Tamil Nadu and Andhra Pradesh. (ECHO, 6 Dec 2023)Cyclone Michaung, followed by heavy to very heavy rainfall inundated many districts and cities inTamil NaduandAndhra PradeshStates. 20 deaths were reported in Chennai and five in Andhra Pradesh. Approximately 4 million people have been affected in Andhra Pradesh and 390,000 people in Tamil Nadu, with hundreds of houses reported damaged, including in a camp hosting Sri Lankan refugees in Tamil Nadu. 41,459 people took shelter in 373 relief camps in Tamil Nadu, and 10,717 in 125 relief camps in Andhra Pradesh. Relief action by Government and civil society is underway. Some areas remain inaccessible in both states, with people unable to reach assistance. (ECHO, 8 Dec 2023)",https://reliefweb.int/disaster/fl-2023-000104-ind
Serbia: Floods ,Jun,2023,Past Disaster,Flash Flood2 more,Serbia,"Heavy rainfalls and floods affected more than 56 municipalities and cities, causing landslides in some municipalities, while severely damaging essential infrastructure, such as roads and bridges, agricultural land, as well as people's homes. According to the assessment of the Red Cross branches, more than 15,432 people are affected (5,144 households). The assessment confirmed that the floods and landslides caused destruction in more than 1,700 households, damaging living spaces, essential items, food supplies, equipment, furniture, and other personal belongings. (IFRC, 3 Jul 2023)",https://reliefweb.int/disaster/fl-2023-000108-srb
Armenia: Hailstorms ,Jun,2023,Past Disaster,Flood1 more,Armenia,"Severe hailstorms struck various regions of Armenia, causing extensive damage and disruption. On 15 June 2023, the South region, particularly rural communities near the border, experienced heavy precipitation that overwhelmed sewage systems, flooded streets and houses, and rendered roads and bridges impassable. The hail and subsequent flooding resulted in significant damage to houses, livestock, gardens, and food stocks. The impact of the storms extended to other regions as well. On 18 June, Gyumri and neighbouring villages in the Shirak region were hit by a hailstorm, followed by heavy rainfall in Ijevan and neighboring villages in the Tavush region on 19 June. Furthermore, the Lori region experienced heavy rain on 19 and 20 June, affecting rural areas near Stepanavan. These events led to road destruction, disruptions in energy and water supply, and other infrastructure damages. The Tavush Regional Rescue Department Crisis Management Center received numerous alerts on 19 June, reporting significant damage caused by heavy rain, hail, and wind in Ijevan, Tavush. Uprooted trees, flooded roads and buildings, damaged roofs, and disruptions in power and gas supply networks were observed. Crop gardens and fields were also affected, leading to accidents in utility and energy systems. Committees were formed in Tavush Marz and Ijevan municipalities to assess the extent of the damage [...] The damage of the disaster within the two regions is the following: A total of 1,224 people were affected in Tavush, located in the northeast of Armenia, sharing borders with Georgia and Azerbaijan, and Gegharkunik, Kotayk, and Lori provinces internally. The town of Ijevan, the capital of Tavush, mainly suffered the consequences of the hailstorm. A total of 1,720 people were affected in Lori, which is situated in the northern part of Armenia, sharing a border with Georgia. A total of 12,500 people were affected by the hailstorm in Syunik and Shirak areas. (IFRC, 30 Jun 2023)On 2 August the severe hailstorm struck another part of the targeted Lori region, the Alaverdi community. The heavy hail started at 8 p.m. local time, and continued until 8.30 p.m., followed by rain and wind. The disaster mainly affected the urban area of Alaverdi and rural areas near the city. On the following day, Head of the Municipality sent a formal letter to ARCS with the request to support the most vulnerable, as the burden on the Municipality has been extensive. [...] The recent hailstorms had a significant impact on four regions of Armenia: Syunik, Shirak, Lori, and Tavush. These regions have experienced recurrent hailstorms, landslides, and floods due to climate change, resulting in severe agricultural losses. The recent events have heightened the threats faced by vulnerable population groups, particularly in communities already burdened by the recent conflict and its aftermath. The current DREF operation
has been focusing on supporting affected population in Lori and Tavush regions; the new allocation will target a new community in Lori region, where an overall 18,000 people were affected. (IFRC, 29 Aug 2023)",https://reliefweb.int/disaster/st-2023-000106-arm
Ecuador: Floods ,Jun,2023,Past Disaster,Flash Flood2 more,Ecuador,"On June 3, heavy rains were recorded in the provinces of Esmeraldas, resulting in the overflow of seven rivers in five local districts. The most affected areas include the districts of Atacames, Esmeraldas, Musine, Quinindé, and Rioverde. (WFP, 9 June 2023)The number of evacuated and affected people has been increasing following torrential rain and floods that hit the Province of Esmeraldas in north-western Ecuador in the past few days. At least six rivers overflowed across the cantons of Atacames, Esmeraldas, Quinindé and Muisne, all in the same Province. According to the Ecuador Risk Communication Management Department (SGR), 842 people have been sheltered, 14,186 affected, and almost 1,500 rescued. In addition, 2,895 houses have been impacted, as well as 21 educational facilities and seven health centres. The humanitarian assistance conducted by the national authorities is still ongoing. (ECHO, 7 Jun 2023)",https://reliefweb.int/disaster/fl-2023-000094-ecu
Haiti: Floods and Landslides ,Jun,2023,Past Disaster,Flood1 more,Haiti,"On 3 June, heavy rainfall hit the departments of Ouest, Nippes, Sud-Est, Nord-Ouest and Centre causing floods, triggering landslides and resulting in casualties and damage. According to the Haitian Civil Protection, 15 people died, eight are missing, almost 13,400 people have been displaced, 7,475 families affected (5,510 in the Ouest Department), and more than 1,200 houses flooded. Emergency response teams have been mobilised to provide support for the affected communities and to assess the damage. For the next 24 hours, light rain is expected across most parts of the country. (ECHO, 5 Jun 2023)On 3 June 2023, a low-pressure system caused torrential rains across the country. Most departments experienced severe flooding, rockslides and landslides. According to the DGPC, the provisional toll from the extreme weather is 37,375 people affected (including 13,390 displaced), 15 dead, 8 missing, 1,219 houses flooded and 160 destroyed or damaged. The General Directorate of Civil Protection (DGPC) activated the National Emergency Operations Centre (COUN) on 3 June. (OCHA, 5 Jun 2023)Following the heavy rain, strong winds, floods and landslides that affected most of Haiti on 2-3 June, the number of casualties and damage is increasing.
According to the Haitian Civil Protection, 42 people died, 11 are missing, and 85 have been injured. Moreover, 6,334 people have been evacuated, almost 12,800 families were affected, 13,500 houses flooded and several roads were destroyed. In the Departments of West, North-East and North-West, most of the rivers overflowed, while in Ouest Department, where 19 people died, five municipalities have been hardly impacted by widespread floods.  (ECHO, 6 Jun 2023)The DGPC's provisional figures for the storms now show 39,458 households affected, 3,586 people evacuated, 51 deaths, 140 people injured, 31,591 homes flooded and 2,445 homes destroyed or damaged. (OCHA, 6 Jun 2023)On 3 June Haiti experienced intense rainfall due to a stationary low-pressure system. The torrential rains caused flooding and landslides in 7 of the country's 10 departments. According to the Humanitarian Overview published by OCHA, 27 of the country's 146 communes were affected, leaving 58 people dead, 143 injured, 9,100 displaced and almost 45,000 households affected. The material damage is also considerable: almost 37,500 houses were affected, including 893 destroyed, 3,000 head of cattle were lost and 30,000 hectares of cultivated land across the country flooded. The MSPP has also noted an upsurge in suspected cases of cholera.  (OCHA, 17 Jul 2023)",https://reliefweb.int/disaster/fl-2023-000085-hti
