disaster,description,url
Tanzania: Floods - Jan 2016,"From 17 – 18 January 2016, the Dodoma Municipality of Tanzania and Bahi district in Dodoma region experienced significant flooding as a result of heavy rain accompanied by strong winds. Five localities in the outskirts of the Dodoma Municipality were worst hit by the flood, which affected 546 families (2,800 people) of which 155 houses were completely destroyed leaving 668 individuals displaced and homeless. Locations with high number of destroyed houses include: Chamwino Ikulu (38), Chimendeli (29), Mpunguzi (35), Mlowa (27) and Nghulugano (26). In Bahi district, an estimated 526 families (2,650 people) are affected, of which 145 houses were completely destroyed with the majority of people seeking refuge in public buildings (e.g. schools) or with friends and family. Locations with high number of destroyed houses include: Chikola (56), Kinonduli (57) and Ligwa (32). (IFRC, 3 Feb 2016)From 10 – 15 February 2016, the Rufiji district in Coast region experienced further rains and flooding. Fifteen wards in Rufiji district were affected by the floods, specifically Chemichemi, Chumbi, Ikwiriri, Kiongoloni, Kipugira, Maparoni, Mgomba, Mkongo, Msala, Mtunda, Mwaseni, Muhoro, Ngorongo, Umwe and Utete. According to the assessment data collected by the Rufiji district authority, an estimated of 11,137 families (53,446 people) were affected. Houses were submerged in flood waters and others were completely damaged leaving over 3,000 people displaced in 11 of the wards Chemichemi (87), Chumbi (10), Ikwiriri (42), Kipugira (25), Mtunda (150), Mgomba (25), Mwaseni (15), Ngorongo (12), Mkongo (60), Umwe (100) and Utete (84)), and in need of urgent humanitarian assistance, particularly for non-food items (NFIs).  (IFRC, 8  Mar 2016)",https://reliefweb.int/disaster/fl-2016-000011-tza
Typhoon Melor - Dec 2015,"Typhoon Melor made an initial landfall in Batag Island, Northern Samar and then tracked across southern Luzon, making five other landfalls before exiting to the sea west of the Philippines on 16 December. At its peak, Melor packed maximum sustained winds of 150 kilometres per hour (kph) and gusts of up to 185 kph, and brought heavy to intense rainfall within its 300 km diameter.Provincial and local governments conducted pre-emptive evacuations in coastal communities and in some mountainous areas with high risk of landslides. More than 730,000 people from five regions were evacuated to evacuation centres. There were 41 confirmed deaths and over 199,850 houses were damaged – 55,400 of them completely. Most damage to houses have been in the provinces of Oriental Mindoro Northern Samar and Sorsogon. 99 classrooms were either partially or completely damaged and 35 health facilities were damaged. (IFRC, 22 Dec 2015)As Melor dissipated, a new tropical system – Tropical Depression Twenty Threelocally named ""Onyok""– entered the Philippine area of responsibility (PAR) and made landfall over the municipality of Manay in Davao Oriental province, eastern Mindanao.The IFRC launched an Emergency Appeal on 22 December to provide CHF 3.7 million in assistance to 45,000 people. (IFRC, 22 Dec 2015) On 4 March 2016, the IFRC issued a revised Emergency Appeal for CHF 2,079,515 to support the Philippine Red Cross (PRC) in delivering assistance to 45,000 people over 12 months, with a focus on the following sectors: emergency relief and shelter, recovery shelter, health, livelihoods, water and sanitation. Based on field
reports, the Government-led Response Cluster stated in December that 555,667 families were affected
by Typhoon Melor (IFRC, 4 Mar 2016)",https://reliefweb.int/disaster/tc-2015-000168-phl
South America: Floods and Landslides - Nov 2015-Dec 2016,"Since November 2015, severe weather brought on by El Niño Southern Oscillation (ENSO,) including heavy rains, floods, flash floods and landslides significantly hit South America.InVenezuela,due to rains in July 2016, 153 homes were affected in the State of Miranda, of which 56 were in Guarenas-Guatire and 97 were in Barlovento. Homes were affected by flooding, strong winds, and other environmental factors. (PAHO, 19 Jul 2016)InColombia, according to UNGRD data, at least 53,500 people were affected by natural disasters in the country in November 2016. Main events were related to flooding and landslides and the most affected department were Cauca and Bolívar. (OCHA, 30 Nov 2015)
As of June 2016, some 13,741 families have been affected by the first rainy season of the year. (Gov't of Colombia, 20 Jun 2016)In Cordoba, some 6,700 people require humanitarian assistance as a consequence of heavy winds and floods since end of July. (OCHA, 12 Aug 2016)
At the end of August, floods affected more than 35,000 people in the province of Chocó. (OCHA, 8 Sep 2016)Due to heavy rains between 18-23 October, around 20,4093 families were affected in 20 districts of Chocó department. The entire department was declared under state of public calamity. (OCHA, 28 Oct 2016)Ecuadordeclared a state of emergency On 25 January 2016 following two days of heavy rains in Esmeraldas, Atacames, and Rioverde. Official reports from the province of Esmeraldas estimated that 5,899 families (23,955 people) were directly affected; 70 per cent were evacuated to collective centres. The families who returned to their homes lost or suffered damage to between 50 per cent and 80 per cent of their belongings. IFRC’s MDREC011 operation concluded on 22 October 2016 (IFRC, 22 Oct 2016)InPeru, some 103,267 people are affected, 20 are dead, 28 injured and 8,729 are homeless from emergencies related to El Niño since the end of 2015. Authorities report 24,295 houses affected, as well as 393 schools and 72 health centers. (OCHA, 4 Apr 2016)
Between June and August 2016, heavy rains caused the overflowing of river Putumayo in the Loreto department, affecting houses, schools and crop fields. (Gov't of Peru, 4 Aug 2016)InBrazil, the Emergency Management Service reported that as many as many as 2,214 households have been affected by the rainstorms in the state of Rio Grande do Sul. A total of 1,964 households were displaced. The storms hit forty municipalities. (Government of Brazil, 28 Dec 2015)InBolivia, on 21 December 2015, a state of emergency was declared in at least 50 municipalities due to heavy rains, floods and drought. (ECHO, 23 Dec 2015)
Severe weather brought on by El Niño has affected 60,000 people in Bolivia and left 19 people dead from November 2015 to March 15, 2016, according to the Defense Minister. (PAHO, 15 Mar 2016)InParaguay, the Emergency Operations Centre (EOC) in the San Pedro department on 21 December 2015 reported that 19,750 people (3,950 families) in the department have been affected. In total, 10 of San Pedro’s 20 districts were affected by the flooding. In the districts of Guayaibi, Capiivary, San Pedro de Ycuamandyyú, Lima and Nueva Germania 1,105 families were also affected by hail storms. (IFRC, 28 Dec 2015)
In October 2016, 2,837 families were affected in ten different district as a result of three storms. (REDHUM, 27 Oct 2016)
As of 31 October 2016, IFRC’s operation MDRPY018 had the food security component fully completed. Water, sanitation and hygiene promotion activities reached an average of 80 per cent of the proposed objectives for the operation and the appeal coverage was at 82%. (IFRC, 2 Dec 2016)InUruguay, 23,571 people were displaced by early January due to severe rains in the north of the country since December 2015. (Gov't of Uruguay, 2 Jan 2016)
In April 2016, heavy rains, as well as a tornado, have caused flooding and destroyed homes in various areas in Uruguay. According to Uruguay's National Emergency System's (SINAE) 21 April 2016 report, both events displaced more than 10,355 people. (IFRC, 17 Nov 2016)InArgentina, 14 out of the 23 provinces of Argentina were affected, primarily with severe rainfall and the overflow of the Paraná, Uruguay, Pilcomayo and Paraguay rivers and its tributaries in December 2015. By late February 2016, these floods, the most complex registered in the last century in Argentina, affected more than 76,133 people in 14 provinces. In April 2016, intense rains again fell, affecting 72,119 people in 7 provinces. (FRC, 14 Dec 2016)",https://reliefweb.int/disaster/fl-2015-000171-pry
Indonesia: Floods and Landslides - Nov 2015,"Torrential rains over 12-16 November 2015 caused flooding in several locations in West Java, Central Java, West Sumatra and Jakarta. One person died in Bogor from electrocution and thousands of houses were inundated, although without significant damage. (OCHA, 16 Nov 2015)Landslides in Bengkulu Province on 3 December have killed 18 people. A further two people were killed in landslides in North Sumatra Province on 1 December. (OCHA, 8 Dec 2015)Flooding from 8-13 December has affected around 21,000 households (78,000 people) and dozens of bridges in several districts in Nanggroe Aceh Darussalam Province. Local authorities have reported no casualties, and have provided relief assistance to those displaced. (OCHA, 14 Dec 2015)Between 28 and 31 January 2016, flooding was reported in both Sumatra and Java. Approximately 2,600 houses were inundated for days and at least six bridges connecting villages in Aceh were damaged. This is in addition to the 4,900 houses that were inundated the previous week and where water has now receded.  (OCHA, 1 Feb 2016)Heavy rains that have been pounding the Island of Sumatra, Indonesia, since 7 February, have caused significant floods and landslides, killing at least 5 people, damaging more than 7,100 houses and displacing or isolating at least 12,000 families. As well as causing a substantial humanitarian impact, the floods have rendered some villages inaccesible, due to damaged bridges or blocked roads, and submerged public facilities including health centres and schools. Based on preliminary information, some 14,400 families (around 55,900 people) have been affected across 5 provinces. These numbers are likely to increase over the coming days since ongoing heavy rains could potentially bring additional flooding and potential landslides.  (IFRC, 12 Feb 2016)Heavy rain affected the provinces of Central Java and West Sumatra in March, causing floods and landslides.As of 23 March, national authorities reported two dead, several injured and several homes damaged. (ECHO, 23 Mar 2016)",https://reliefweb.int/disaster/fl-2016-000009-idn
Kenya: Floods - Nov 2015,"Heavy rainfall was received in most parts the County; Busia, Homabay, Nandi, Kisumu, Nakuru, Bomet, Nyandarua, Turkana, Kericho, Nairobi and Narok Counties are amongst them. Average rainfall was witnessed in Malindi, Nyeri, Baringo, Mombasa, and Samburu Counties. Light showers were recorded in Garissa and Wajir Counties. KRCS activated various responses to the incidents resulting from increased rainfall witnessed in the country over the last few days (Kenya Red Cross, 10 Nov 2015).WFP has started responding to county requests and assessed food needs in Garissa and Tana River. In Tana River, a rapid assessment found that 6,840 households (41,000 people) require food assistance. In Garissa, provisional estimates indicate that up to 20,000 households (120,000 people) are displaced or cut off, and may need relief assistance. The government has requested the army to provide a helicopter for an aerial assessment. (WFP, 2 Dec 2015)It is expected that flooding will continue through December 2015 and into early January in Western Kenya (due to overflow of Rivers Nyando, and Nzoia), and in the counties of Garissa, Tana River and Kilifi (mainly due to heavy downpour in the Mount Kenya Region, which forms the catchment zone for the River Tana).The ongoing rains have led to a host of problems, including flooding (rivers bursting their banks in Garissa, Tana River, Migori, Busia and Homa Bay), flash floods (Narok), landslides/mudslides (Mt.
Elgon, Kisii, West Pokot and Narok) road traffic accidents (Turkana, Homa Bay, and Nairobi) and lightning strikes (Kisii). Together, it has resulted in 112 deaths and 73 recorded injuries. In total, 40,121 Households (HHs) (approximately 240,726 people) have been affected, including a total of 17,254 HHs (approximately 103,524 people) who have been displaced. (IFRC, 4 Jan 2016)",https://reliefweb.int/disaster/fl-2015-000169-ken
DR Congo: Floods - Nov 2015,"On 28 October, heavy rains struck the territory of Kalehe in South Kivu, particularly affecting the village of Bushushu. The floods left 3 people missing, more than 50 houses destroyed, and dozens others damaged. (OCHA, 10 Nov 2015)In Kindu, district of Maniema, torrential rains caused floodings during the night of 6-7 November. While no casualties have been reported, material damage is considerable on houses, wells, and latrines. More than 3,600 people were made homeless, and many are staying in houses in danger of collapsing. (OCHA, 11 Nov 2015)In Tshopo province, an estimated 180,000 people have been affected by floodings since 7 November. More than 17,000 houses have been completely destroyed and thousands more partially. Roads, schools, and sanitary facilities have been severely damaged in Kisangani and in the territories of Isangi and Banalia. (OCHA, 26 Nov 2015)Since mid-November 2015, extensive rainfall in the Democratic Republic of Congo (DRC) has led to flooding across the country. On 6 December, the heavy rains led to the overflow of the N'djili River causing flooding in the Debonhome, KingabuaNdanu, KingabuaPécheur and Salongo neighbourhoods of the capital Kinshasa, affecting 10,560 people (2,112 families) and resulting in 31 deaths and numerous injuries. The Processing Centre of the Water Distribution Authority serving Kinshasa along the river N'djili was damaged, reducing the available safe water supply.As of 10 February 2016, the waters had receded in the Debonhomme and Salongo neighbourhoods, however the neighbourhoods of KingabuaPecheur and KingabuaNdanu are still flooded, obliging the population of these two neighbourhoods to use canoes as means of transportation. Other municipalities in Kinshasa have also been affected by the floods, following heavy rains, which have continued throughout January and February, including in Massina, Mont N’Gafula and Ngaliema. (IFRC, 2 Mar 2016)",https://reliefweb.int/disaster/fl-2015-000164-cod
Burundi: Floods - Nov 2015,"The current rainy season has been causing severe damages to housing due the El Niño climate event since November 2015, and is expected to continue until May 2016. Until mid-January 2016, heavy rains and floods resulted in the damage and/or the destruction of 5,068 houses in Burundi, affecting 30,408 persons who are in need of assistance in shelter/NFI, based on assessments conducted by the authorities with support from the Burundian Red Cross. Out of these affected 5,068 households, 276 found refuge in two IDP sites set up in November 2015 and January 2016 respectively in Rumonge province, with the majority of the households displaced in host families. Heavy rains mixed with strong winds, landslides, floods and thunderstorms also characterized the period from 13 to 25 January all over the country, causing 28 dead and 22 wounded. 703 houses were destroyed and 24 damaged, while 36 schools and 22 bridges were also destroyed, as reported in the assessment conducted by the Provincial Platform for Risk Prevention and Disaster Management, the Red Cross of Burundi, and the Civil Protection. (OCHA, 29 Jan 2016)The Burundian Red Cross (BRC) continues with the WASH response in the two flood displacement sites in Rumonge province where 1,728 people live, including 975 women and 306 children under five. At the Cashi site, WASH sectoral partner, Norwegian Church Aid (NCA) in coordination with the BRC, constructed additional toilet facilities, which are within the Sphere standards (an average of 19-24 people par cabin). (UNICEF, 31 Mar 2016)The Bujumbura-rural province is particularly today under a big chock of flooding. The overflowing of Rusizi river due to El Nino torrential rains that hit hills of Rwanda and DR Congo from where it flows caused flooding in many areas of Gatumba zone in Mutimbuzi commune. Many houses are being destroyed leaving behind hundreds of persons homeless. Some schools are also closed and many hectares of fields of crops are under water. Moreover, some areas are inaccessible. (Burundi Red Cross, 21 Jul 2016)",https://reliefweb.int/disaster/fl-2015-000176-bdi
Iraq: Floods - Oct 2015,"Heavy rains in late October have caused flooding in and around Baghdad, as surface drainage is minimal. Sewer systems have overflowed and caused open sewage to mix with floodwaters. The floods also contributed to increased power outages as many power stations were flooded and authorities have reported deaths caused by electrocution. Roads were damaged and drainage systems blocked even days after the rains stopped. The Iraqi Prime Minister on 1 November declared the status of emergency in areas overwhelmed by the heavy rains.Humanitarian partners estimate that the floods have affected at least 84,000 displaced people staying in more than 40 sites and camps, mostly in Baghdad and Anbar governorates. On 5 November, the rains started in Baghdad again after a few days respite. The number of affected people may rise as partners receive more information about conditions on the ground. Flooding has also been reported from other governorates including Diyala, Salah al-Din and Sulaymaniyah. (OCHA, 8 Nov 2015)At least 58 people have died in the recent floods, most killed by electrocution in the capital. Roads across the country were cut by the waters and sewage backed up. The downpours were particularly devastating in Baghdad, where crumbling infrastructure, weakened by 30 years of war and endemic corruption, played its part too. This year’s rains also hit northern Iraq, causing flash floods in the Kurdistan cities of Erbil and Sulaymaniyah. Aid workers said water levels reached up 1.5 metres inside some houses. (IRIN, 12 Nov 2015)",https://reliefweb.int/disaster/fl-2015-000153-irq
Ethiopia: Floods - Oct 2015,"Since the beginning of bega season, incidents of flooding were reported in East Imey, Mustahil and Kelafo woredas of Shebelle zone in Somali region due to the overflow of the Wabe Shebelle River (East Imey) and flash flood. Evacuation of at-risk population to safer/higher grounds was undertaken in Mustahil and Kelafo woredas.Govt. Ethiopia, 20 Nov 2015A Flood Contingency Plan was released on 18 November to guide mitigation and response efforts in flood-risk areas, especially along the Wabishabelle, Genale/Dawa, and Omo River basins. At least 210,600 people are expected to be affected by flooding and at least 105,300 people risk displacement. (OCHA, 23 Nov 2015)Floods in the Somali Region, Mustahil, Kelafo and East Imey woredas of Shaballe Zone have killed five people, displaced more than 46,500 people, affected some 102,000 others and killed some 10,000 livestock. In these areas, schools have been forced to close, health clinics are affected, water pumps and wells are destroyed. Farm land is flooded and crops destroyed. (UNICEF, 31 Oct 2015)Southern and southeastern pastoral areas (southern Somali, Southern Oromia and the lowlands in South Omo Zone in SNNPR): Although there was some flooding in October in localized areas, affecting planted crops and access for livestock feed in November and early December, floods receded later in December, increasing availability of pasture and browse. This will in turn increase household milk access and income from livestock product sales. Poor households in these areas are expected to move from Crisis (IPC Phase 3) to Stressed (IPC Phase 2) beginning in January 2016. (FEWS NET, 31 Dec 2015)",https://reliefweb.int/disaster/fl-2015-000161-eth
Algeria: Floods - Oct 2015,"Mid-October, heavy rains and flooding caused widespread damage to five camps providing shelter to some 90,000 of the most vulnerable Sahrawi refugees in south-west Algeria’s arid Tindouf region. UNHCR and  partners  begun to assist some 25,000 people (5,000 families) whose homes and food supplies were damaged or destroyed.(UNHCR, 23 Oct 2015)The floods are likely worsening the threat posed by landmines and explosive remnants of war in the area of Western Sahara. Since the flood waters have not yet receded, it is impossible yet to quantify the damages or to assess the actual extent of the risk posed to civilians and their livelihoods by the mines and explosives remnants that have likely been displaced outside of already known marked areas.The emergency situation requires a rapid and efficient emergency response, such as providing mine action organisations with the resources and means to carry out risk assessment and to mark out mined areas once again. (ICBL, 2 Nov 2015)By early December, it was estimated that USD 500,000 was urgently required to rehabilitate those critical health infrastructure, with a priority focus on Dakhla camp, the camp most affected by the flood emergency.  Despite the resuming of emergency primary health care, diarrhea cases have been reported to be raising by health NGO partners across all flood affected camps. (UNICEF, 3 Dec 2015)By mid-December, 11,500 families were affected, and 6,500 children had limited access to school. (UNICEF, 17 Dec 2015)
An Emergency Food Security Assessment (EFSA) was conducted by WFP in the refugee camps from
08-15 December to assess the impact of the recent floods on the food security situation of the refugee population. The EFSA report is expected in early February 2016. (WFP, 31 Dec 2015)In January 2016 the IFRC increased its operation budget to assist 10,000 people (2,000 families). It estimates that 35,000 people have been affected by the floods, a number that could increase as this is just the middle of the rainy season. (IFRC, 28 Jan 2016)Due to logistical problems the DREF operations was extended for 4 months. Due to the delay with the shelter items, a Regional Disaster Response Team (RDRT) will be redeployed to Tindouf at the beginning of May 2016 (instead of April) for one month, to support with the sensitization, preparation, receipt and set-up of shelter materials, as well as post-distribution monitoring for NFIs and
beneficiary satisfaction survey. (IFRC, 8 Apr 2016)",https://reliefweb.int/disaster/fl-2015-000146-dza
